Date,Covishield,Covaxin,Sputnik,Corbevax,Dose 1,Dose 2,Precaution Dose
2021-03-08,52777,6651,0,0,46151,13192,0
2021-03-09,58423,7001,0,0,51390,14061,0
2021-03-10,60420,7001,0,0,53025,14423,0
2021-03-11,65236,7192,0,0,57692,14763,0
2021-03-12,72176,7666,0,0,64447,15422,0
2021-03-13,77557,8192,0,0,69904,15872,0
2021-03-14,78626,8235,0,0,70955,15933,0
2021-03-15,84412,8853,0,0,76713,16579,0
2021-03-16,103095,9495,0,0,95508,17082,0
2021-03-17,131939,10822,0,0,125268,17493,0
2021-03-18,142955,11141,0,0,136312,17784,0
2021-03-19,152346,11551,0,0,145793,18104,0
2021-03-20,161224,12104,0,0,154796,18532,0
2021-03-21,162439,12235,0,0,156036,18638,0
2021-03-22,171916,12690,0,0,165605,19001,0
2021-03-23,181500,13041,0,0,175270,19271,0
2021-03-24,184983,13272,0,0,178684,19571,0
2021-03-25,195601,13678,0,0,189402,19877,0
2021-03-26,203427,14034,0,0,197271,20190,0
2021-03-27,211062,14180,0,0,204863,20379,0
2021-03-28,211554,14180,0,0,205348,20386,0
2021-03-29,222991,14541,0,0,216791,20741,0
2021-03-30,234519,14781,0,0,228117,21183,0
2021-03-31,238179,14975,0,0,231676,21478,0
2021-04-01,246677,15130,0,0,239989,21818,0
2021-04-02,253291,15441,0,0,246443,22289,0
2021-04-03,261801,15569,0,0,254531,22839,0
2021-04-04,264699,15581,0,0,257291,22989,0
2021-04-05,272535,15911,0,0,264827,23619,0
2021-04-06,274252,15978,0,0,266476,23754,0
2021-04-07,278046,16324,0,0,269944,24426,0
2021-04-08,292516,16655,0,0,283608,25563,0
2021-04-09,306157,17409,0,0,296483,27083,0
2021-04-10,319558,17633,0,0,308978,28213,0
2021-04-11,323572,17633,0,0,312687,28518,0
2021-04-12,339812,18255,0,0,327697,30370,0
2021-04-13,355475,18383,0,0,341643,32215,0
2021-04-14,357088,18503,0,0,342959,32632,0
2021-04-15,372971,19059,0,0,356805,35225,0
2021-04-16,384509,19511,0,0,365967,38053,0
2021-04-17,388852,20101,0,0,369129,39824,0
2021-04-18,389206,20100,0,0,369322,39984,0
2021-04-19,393945,20534,0,0,372030,42449,0
2021-04-20,404814,22074,0,0,378665,48223,0
2021-04-21,407016,22879,0,0,380247,49648,0
2021-04-22,411834,23742,0,0,382875,52701,0
2021-04-23,411840,24659,0,0,383202,53297,0
2021-04-24,412048,24659,0,0,382906,53801,0
2021-04-25,412199,24659,0,0,382952,53906,0
2021-04-26,425594,24998,0,0,389096,61496,0
2021-04-27,437951,25273,0,0,394923,68301,0
2021-04-28,443108,25591,0,0,397484,71215,0
2021-04-29,455891,26158,0,0,403246,78803,0
2021-04-30,471574,26463,0,0,409442,88595,0
2021-05-01,472671,26461,0,0,409567,89565,0
2021-05-02,472959,26461,0,0,409593,89827,0
2021-05-03,480790,27063,0,0,411459,96394,0
2021-05-04,488494,27446,0,0,413324,102616,0
2021-05-05,491182,27938,0,0,414400,104720,0
2021-05-06,501479,28507,0,0,416574,113412,0
2021-05-07,513150,28911,0,0,418774,123287,0
2021-05-08,515944,28910,0,0,419432,125422,0
2021-05-09,515943,28910,0,0,419431,125422,0
2021-05-10,522971,29923,0,0,421516,131378,0
2021-05-11,525702,31167,0,0,423084,133785,0
2021-05-12,526327,31824,0,0,423899,134252,0
2021-05-13,526423,32412,0,0,424432,134403,0
2021-05-14,532599,33431,0,0,426631,139399,0
2021-05-15,536824,37871,0,0,433998,140697,0
2021-05-16,537602,41373,0,0,438184,140791,0
2021-05-17,538508,45581,0,0,443044,141045,0
2021-05-18,539680,48634,0,0,447126,141188,0
2021-05-19,540174,50098,0,0,448868,141404,0
2021-05-20,540415,51090,0,0,450015,141490,0
2021-05-21,541337,52967,0,0,452751,141553,0
2021-05-22,542478,53196,0,0,454104,141570,0
2021-05-23,542650,53196,0,0,454276,141570,0
2021-05-24,544116,53319,0,0,455838,141597,0
2021-05-25,548112,53318,0,0,459829,141601,0
2021-05-26,552327,53318,0,0,464027,141618,0
2021-05-27,561520,53442,0,0,473309,141653,0
2021-05-28,570515,53442,0,0,482250,141707,0
2021-05-29,576868,53924,0,0,489053,141739,0
2021-05-30,578238,53923,0,0,490416,141745,0
2021-05-31,587007,54577,0,0,499668,141916,0
2021-06-01,596187,55922,0,0,509378,142731,0
2021-06-02,600999,56685,0,0,514229,143455,0
2021-06-03,606451,58027,0,0,520346,144132,0
2021-06-04,614166,59254,0,0,529028,144392,0
2021-06-05,620582,61219,0,0,536574,145227,0
2021-06-06,622536,62160,0,0,539248,145448,0
2021-06-07,626444,63323,0,0,543884,145883,0
2021-06-08,629274,64722,0,0,547689,146307,0
2021-06-09,633876,66170,0,0,553067,146979,0
2021-06-10,639197,68924,0,0,560478,147643,0
2021-06-11,642746,71002,0,0,565379,148369,0
2021-06-12,643526,73051,0,0,567859,148718,0
2021-06-13,644794,74429,0,0,569624,149599,0
2021-06-14,649835,76822,0,0,575391,151266,0
2021-06-15,665405,78731,0,0,582119,162017,0
2021-06-16,674072,78876,0,0,586795,166153,0
2021-06-17,679322,79331,0,0,590527,168126,0
2021-06-18,682389,79583,0,0,593212,168760,0
2021-06-19,686617,79963,0,0,597361,169219,0
2021-06-20,686638,80200,0,0,597612,169226,0
2021-06-21,692051,80276,0,0,601726,170601,0
2021-06-22,704079,82427,0,0,606729,179777,0
2021-06-23,708931,83548,0,0,608624,183855,0
2021-06-24,724484,84558,0,0,613578,195464,0
2021-06-25,736021,87222,0,0,616847,206396,0
