Date,Covishield,Covaxin,Sputnik,Corbevax,Covovax,Dose 1,Dose 2,Precaution Dose
2021-03-08,101925,4150,0,0,0,83563,22327,0
2021-03-09,108843,4179,0,0,0,86721,26303,0
2021-03-10,114049,4224,0,0,0,89074,29201,0
2021-03-11,118501,4229,0,0,0,91248,31484,0
2021-03-12,127632,4257,0,0,0,95614,36277,0
2021-03-13,132974,4396,0,0,0,98355,39018,0
2021-03-14,133354,4396,0,0,0,98672,39081,0
2021-03-15,141400,4517,0,0,0,103637,42283,0
2021-03-16,169650,4763,0,0,0,129279,45134,0
2021-03-17,249952,5921,0,0,0,208553,47320,0
2021-03-18,266897,6217,0,0,0,222336,50778,0
2021-03-19,280666,6509,0,0,0,233986,53189,0
2021-03-20,293249,6621,0,0,0,244791,55079,0
2021-03-21,294003,6612,0,0,0,245463,55152,0
2021-03-22,306956,8236,0,0,0,257584,57608,0
2021-03-23,322016,10060,0,0,0,272389,59687,0
2021-03-24,329444,10339,0,0,0,279616,60167,0
2021-03-25,347043,11630,0,0,0,297491,61182,0
2021-03-26,362359,12512,0,0,0,312927,61944,0
2021-03-27,372800,12885,0,0,0,323432,62253,0
2021-03-28,374130,12890,0,0,0,324742,62278,0
2021-03-29,390444,13717,0,0,0,341157,63004,0
2021-03-30,407515,14565,0,0,0,358139,63941,0
2021-03-31,412727,14937,0,0,0,363290,64374,0
2021-04-01,419120,14937,0,0,0,369355,64702,0
2021-04-02,424067,14935,0,0,0,374093,64909,0
2021-04-03,434817,14933,0,0,0,384169,65581,0
2021-04-04,438491,14932,0,0,0,387583,65840,0
2021-04-05,451824,14931,0,0,0,400188,66567,0
2021-04-06,455984,14930,0,0,0,404017,66897,0
2021-04-07,467990,14930,0,0,0,415102,67818,0
2021-04-08,496314,14929,0,0,0,441710,69533,0
2021-04-09,526549,14924,0,0,0,470052,71421,0
2021-04-10,549025,15457,0,0,0,491039,73443,0
2021-04-11,554763,15791,0,0,0,496405,74149,0
2021-04-12,591257,15794,0,0,0,529621,77430,0
2021-04-13,618818,16579,0,0,0,554228,81169,0
2021-04-14,621395,16578,0,0,0,556138,81835,0
2021-04-15,646851,22915,0,0,0,583782,85984,0
2021-04-16,655570,33481,0,0,0,599974,89077,0
2021-04-17,657441,45939,0,0,0,613290,90090,0
2021-04-18,657519,49305,0,0,0,616624,90200,0
2021-04-19,661292,52640,0,0,0,621965,91967,0
2021-04-20,684767,54619,0,0,0,635440,103946,0
2021-04-21,695194,55739,0,0,0,641434,109499,0
2021-04-22,718269,57245,0,0,0,654959,120555,0
2021-04-23,735322,57843,0,0,0,664903,128262,0
2021-04-24,755767,57902,0,0,0,675985,137684,0
2021-04-25,756199,57893,0,0,0,676233,137859,0
2021-04-26,766768,57887,0,0,0,681953,142702,0
2021-04-27,776879,57883,0,0,0,686432,148330,0
2021-04-28,777479,57857,0,0,0,686523,148813,0
2021-04-29,779035,57842,0,0,0,687262,149615,0
2021-04-30,792182,59740,0,0,0,693525,158397,0
2021-05-01,794477,60471,0,0,0,694412,160536,0
2021-05-02,794478,60471,0,0,0,694408,160541,0
2021-05-03,803021,61524,0,0,0,697515,167030,0
2021-05-04,807568,62026,0,0,0,699194,170400,0
2021-05-05,808036,62127,0,0,0,699146,171017,0
2021-05-06,807435,62119,0,0,0,698533,171021,0
2021-05-07,821422,62197,0,0,0,701434,182185,0
2021-05-08,827799,62568,0,0,0,703144,187223,0
2021-05-09,827782,62566,0,0,0,703125,187223,0
2021-05-10,840580,62894,0,0,0,705538,197936,0
2021-05-11,854522,63237,0,0,0,708516,209243,0
2021-05-12,857421,63411,0,0,0,709387,211445,0
2021-05-13,857429,64010,0,0,0,709935,211504,0
2021-05-14,858232,64528,0,0,0,710375,212385,0
2021-05-15,868893,66910,0,0,0,721351,214452,0
2021-05-16,868894,68224,0,0,0,722496,214622,0
2021-05-17,878374,73569,0,0,0,733774,218169,0
2021-05-18,880381,78965,0,0,0,738036,221310,0
2021-05-19,881813,80555,0,0,0,740456,221912,0
2021-05-20,881898,80843,0,0,0,740822,221919,0
2021-05-21,882026,81163,0,0,0,741231,221958,0
2021-05-22,882121,81288,0,0,0,741438,221971,0
2021-05-23,882119,81287,0,0,0,741435,221971,0
2021-05-24,886618,82733,0,0,0,747377,221974,0
2021-05-25,890527,84051,0,0,0,752603,221975,0
2021-05-26,892615,84356,0,0,0,754949,222022,0
2021-05-27,908627,84649,0,0,0,770938,222338,0
2021-05-28,924916,85039,0,0,0,787614,222341,0
2021-05-29,936259,91423,0,0,0,799237,228445,0
2021-05-30,937640,91539,0,0,0,800705,228474,0
2021-05-31,950497,92682,0,0,0,814691,228488,0
2021-06-01,964003,93760,0,0,0,829128,228635,0
2021-06-02,969643,93911,0,0,0,834826,228728,0
2021-06-03,993231,94178,0,0,0,858452,228957,0
2021-06-04,1012185,102136,0,0,0,877296,237025,0
2021-06-05,1027880,110693,0,0,0,893199,245374,0
2021-06-06,1031538,110847,0,0,0,896853,245532,0
2021-06-07,1051017,112351,0,0,0,917170,246198,0
2021-06-08,1074813,114139,0,0,0,941705,247247,0
2021-06-09,1089196,114880,0,0,0,955596,248480,0
2021-06-10,1117706,117116,0,0,0,984540,250282,0
2021-06-11,1144282,119793,0,0,0,1011836,252239,0
2021-06-12,1162019,124902,0,0,0,1032480,254441,0
2021-06-13,1167944,125277,0,0,0,1038161,255060,0
2021-06-14,1197573,129061,0,0,0,1067254,259380,0
2021-06-15,1227335,132441,0,0,0,1094425,265351,0
2021-06-16,1237546,133731,0,0,0,1103761,267516,0
2021-06-17,1263992,135399,0,0,0,1127353,272038,0
2021-06-18,1282136,137712,0,0,0,1144928,274920,0
2021-06-19,1302091,139564,0,0,0,1164142,277513,0
2021-06-20,1308854,139794,0,0,0,1170396,278252,0
2021-06-21,1339384,142016,0,0,0,1199481,281919,0
2021-06-22,1370618,144704,0,0,0,1227342,287980,0
2021-06-23,1387217,144882,0,0,0,1240328,291771,0
2021-06-24,1420951,147110,0,0,0,1269434,298627,0
2021-06-25,1455788,149147,0,0,0,1299455,305480,0
2021-06-26,1487557,151374,0,0,0,1326486,312445,0
2021-06-27,1494366,151547,204,0,0,1332254,313863,0
2021-06-28,1524894,153524,204,0,0,1358954,319668,0
2021-06-29,1556235,155619,204,0,0,1385349,326709,0
2021-06-30,1588069,155909,738,0,0,1411447,333269,0
2021-07-01,1616685,158008,738,0,0,1433807,341624,0
2021-07-02,1652730,159725,738,0,0,1459096,354097,0
2021-07-03,1685862,161268,738,0,0,1482272,365596,0
2021-07-04,1688691,161460,738,0,0,1483969,366920,0
2021-07-05,1716480,162681,1137,0,0,1501212,379086,0
2021-07-06,1739953,164408,1137,0,0,1516258,389240,0
2021-07-07,1753220,164499,1137,0,0,1524305,394551,0
2021-07-08,1765878,166404,1137,0,0,1533458,399961,0
2021-07-09,1796588,168019,1137,0,0,1548983,416761,0
2021-07-10,1819043,168830,1137,0,0,1560122,428888,0
2021-07-11,1821135,169181,1137,0,0,1561475,429978,0
2021-07-12,1853177,170667,1137,0,0,1578271,446710,0
2021-07-13,1878341,172817,1728,0,0,1594298,458588,0
2021-07-14,1901577,173692,2337,0,0,1612139,465467,0
2021-07-15,1927851,175927,2420,0,0,1628733,477465,0
2021-07-16,1943592,177951,2555,0,0,1640495,483603,0
2021-07-17,1976158,180341,2557,0,0,1658800,500256,0
2021-07-18,1981044,180443,2561,0,0,1662062,501986,0
2021-07-19,2020029,182497,2561,0,0,1681453,523634,0
2021-07-20,2048329,185192,2944,0,0,1698507,537958,0
2021-07-21,2063885,185886,2959,0,0,1709062,543668,0
2021-07-22,2107358,189584,3485,0,0,1731322,569105,0
2021-07-23,2157499,192966,3485,0,0,1753653,600297,0
2021-07-24,2187745,194901,3694,0,0,1772432,613908,0
2021-07-25,2200383,195822,4001,0,0,1778826,621380,0
2021-07-26,2233571,200171,4003,0,0,1802600,635145,0
2021-07-27,2249346,204484,4623,0,0,1818136,640317,0
2021-07-28,2259281,207912,4623,0,0,1829153,642663,0
2021-07-29,2269462,213375,4623,0,0,1842531,644929,0
2021-07-30,2312164,216321,4623,0,0,1867119,665989,0
2021-07-31,2361227,221654,4623,0,0,1906495,681009,0
2021-08-01,2388229,222089,4624,0,0,1930613,684329,0
2021-08-02,2416195,226397,4625,0,0,1954424,692793,0
2021-08-03,2451483,231891,4636,0,0,1987106,700904,0
2021-08-04,2461581,233851,5211,0,0,1997526,703117,0
2021-08-05,2473286,239084,5802,0,0,2012360,705812,0
2021-08-06,2500580,243675,5812,0,0,2039119,710948,0
2021-08-07,2518071,248675,5979,0,0,2059952,712773,0
2021-08-08,2537628,249422,5980,0,0,2079133,713897,0
2021-08-09,2554485,253280,5994,0,0,2093957,719802,0
2021-08-10,2562591,260023,6005,0,0,2106651,721968,0
2021-08-11,2569621,262235,6163,0,0,2114892,723127,0
2021-08-12,2602775,269512,6178,0,0,2147367,731098,0
2021-08-13,2638567,276979,6188,0,0,2182468,739266,0
2021-08-14,2676789,285866,6367,0,0,2223747,745275,0
2021-08-15,2681592,310018,6367,0,0,2249774,748203,0
2021-08-16,2706660,313835,6606,0,0,2273263,753838,0
2021-08-17,2748971,317287,6641,0,0,2312930,759969,0
2021-08-18,2766515,320271,6764,0,0,2330470,763080,0
2021-08-19,2800652,321886,6822,0,0,2361775,767585,0
2021-08-20,2815875,323511,6849,0,0,2375919,770316,0
2021-08-21,2814846,323184,6846,0,0,2374569,770307,0
2021-08-22,2817196,323392,6846,0,0,2376506,770928,0
2021-08-23,2845379,327492,6881,0,0,2400286,779466,0
2021-08-24,2871568,331449,6911,0,0,2421939,787989,0
2021-08-25,2887866,333428,6924,0,0,2435143,793075,0
2021-08-26,2925492,339349,6937,0,0,2463464,808314,0
2021-08-27,2968291,344464,6949,0,0,2495401,824303,0
2021-08-28,2978925,353448,6966,0,0,2506846,832493,0
2021-08-29,2982094,353978,6966,0,0,2508592,834446,0
2021-08-30,3015105,356994,6978,0,0,2529401,849676,0
2021-08-31,3048070,364666,6993,0,0,2552766,866963,0
2021-09-01,3072357,368828,7002,0,0,2568004,880183,0
2021-09-02,3087678,377634,7006,0,0,2581821,890497,0
2021-09-03,3096412,385728,7039,0,0,2589227,899952,0
2021-09-04,3108757,390301,7400,0,0,2595673,910785,0
2021-09-05,3113486,391646,7639,0,0,2598907,913864,0
2021-09-06,3119698,392328,7924,0,0,2601047,918903,0
2021-09-07,3187117,392681,8484,0,0,2630051,958231,0
2021-09-08,3212546,392835,8824,0,0,2641409,972796,0
2021-09-09,3222489,393042,9111,0,0,2644185,980457,0
2021-09-10,3285187,393467,9220,0,0,2671714,1016160,0
2021-09-11,3310530,402890,9424,0,0,2684605,1038239,0
2021-09-12,3315494,404076,9543,0,0,2687924,1041189,0
2021-09-13,3321318,407287,9672,0,0,2689907,1048370,0
2021-09-14,3326240,407339,9772,0,0,2690744,1052607,0
2021-09-15,3369980,407378,9870,0,0,2706715,1080513,0
2021-09-16,3423313,407415,9942,0,0,2728648,1112022,0
2021-09-18,3487923,407581,10068,0,0,2754053,1151519,0
2021-09-18,3508924,407581,10107,0,0,2762347,1164265,0
2021-09-19,3517859,407673,10155,0,0,2766737,1168950,0
2021-09-20,3560630,407674,10229,0,0,2785288,1193245,0
2021-09-21,3595726,408708,10293,0,0,2800291,1214436,0
2021-09-22,3618540,415181,10349,0,0,2810111,1233959,0
2021-09-23,3655871,416787,10410,0,0,2822719,1260349,0
2021-09-24,3685964,424675,10463,0,0,2831985,1289117,0
2021-09-25,3718639,428420,10764,0,0,2841727,1316096,0
2021-09-26,3725463,428991,10973,0,0,2845479,1319948,0
2021-09-27,3742500,429390,11190,0,0,2851003,1332077,0
2021-09-28,3769464,431002,11715,0,0,2860120,1352061,0
2021-09-29,3777880,439176,12083,0,0,2863418,1365721,0
2021-09-30,3803179,440604,12430,0,0,2871236,1384977,0
2021-10-01,3817432,448443,12650,0,0,2875791,1402734,0
2021-10-02,3826430,448465,12820,0,0,2878785,1408930,0
2021-10-03,3829534,448710,12958,0,0,2880523,1410679,0
