Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,49738,5226,0,40257,12261
2021-03-09,57149,5226,0,48746,13638
2021-03-10,62254,5226,0,52871,14618
2021-03-11,65234,5226,0,54988,15481
2021-03-12,70392,5226,0,58867,16760
2021-03-13,72484,5226,0,60460,17259
2021-03-14,72611,5226,0,60578,17268
2021-03-15,77259,5597,0,64298,18567
2021-03-16,94122,6185,0,80423,19884
2021-03-17,116946,6635,0,103002,20579
2021-03-18,126163,7249,0,111881,21531
2021-03-19,136118,7837,0,121626,22329
2021-03-20,144417,8338,0,129821,22934
2021-03-21,144719,8348,0,130089,22978
2021-03-22,155934,8610,0,141146,23398
2021-03-23,168182,8887,0,153263,23806
2021-03-24,175085,9068,0,160077,24076
2021-03-25,187813,9214,0,172690,24337
2021-03-26,199041,9476,0,183811,24706
2021-03-27,211409,9688,0,196041,25056
2021-03-28,211427,9688,0,196059,25056
2021-03-29,222172,9766,0,206708,25230
2021-03-30,237234,9835,0,221592,25477
2021-03-31,243105,9871,0,227362,25614
2021-04-01,247679,9897,0,231837,25739
2021-04-02,253012,9923,0,237020,25915
2021-04-03,261884,9925,0,245574,26235
2021-04-04,264588,9926,0,248211,26303
2021-04-05,273945,9931,0,257385,26491
2021-04-06,275814,9931,0,259193,26552
2021-04-07,282438,9942,0,265637,26743
2021-04-08,297612,9944,0,280275,27281
2021-04-09,315504,10000,0,297416,28088
2021-04-10,329409,10010,0,310723,28696
2021-04-11,335429,10010,0,316581,28858
2021-04-12,363016,10010,0,342670,30356
2021-04-13,372859,10014,0,351393,31480
2021-04-14,373418,10014,0,351831,31601
2021-04-15,386842,10048,0,363160,33730
2021-04-16,405217,10079,0,378655,36641
2021-04-17,419545,11289,0,391631,39203
2021-04-18,421159,11928,0,393590,39497
2021-04-19,430056,14487,0,402720,41823
2021-04-20,451573,15990,0,420016,47547
2021-04-21,463845,17389,0,429834,51400
2021-04-22,478440,18685,0,440688,56437
2021-04-23,485258,19990,0,445978,59270
2021-04-24,502046,21659,0,458072,65633
2021-04-25,503094,22110,0,459396,65808
2021-04-26,518978,24446,0,471994,71430
2021-04-27,526976,25156,0,477802,74330
2021-04-28,529782,25443,0,479601,75624
2021-04-29,530991,27579,0,482228,76342
2021-04-30,531087,29806,0,484204,76689
2021-05-01,532805,30792,0,485542,78055
2021-05-02,532808,30792,0,485543,78057
2021-05-03,538551,31784,0,487859,82476
2021-05-04,545032,32254,0,489654,87632
2021-05-05,546092,32455,0,490134,88413
2021-05-06,547796,32610,0,490655,89751
2021-05-07,561945,33239,0,493815,101369
2021-05-08,570594,34001,0,496397,108198
2021-05-09,570928,34001,0,496623,108306
2021-05-10,582452,35161,0,500247,117366
2021-05-11,589591,36297,0,502824,123064
2021-05-12,592209,36696,0,503953,124952
2021-05-13,592497,36852,0,504104,125245
2021-05-14,595159,37855,0,505857,127157
2021-05-15,595115,37853,0,505808,127160
2021-05-16,595507,37852,0,506195,127164
2021-05-17,605465,38808,0,517009,127264
2021-05-18,612187,39690,0,524222,127655
2021-05-19,614016,40247,0,526359,127904
2021-05-20,616023,40539,0,528491,128071
2021-05-21,617146,40588,0,529661,128073
2021-05-22,617554,40647,0,530118,128083
2021-05-23,617683,40647,0,530247,128083
2021-05-24,621732,40769,0,534380,128121
2021-05-25,624680,40865,0,537410,128135
2021-05-26,626035,40985,0,538873,128147
2021-05-27,631419,41219,0,544472,128166
2021-05-28,641571,41355,0,554697,128229
2021-05-29,652712,41443,0,565874,128281
2021-05-30,653395,41435,0,566549,128281
2021-05-31,663963,44074,0,577481,130556
2021-06-01,675213,46056,0,588789,132480
2021-06-02,681980,47872,0,595670,134182
2021-06-03,694180,50486,0,608016,136650
2021-06-04,708503,52248,0,622384,138367
2021-06-05,722093,54272,0,636402,139963
2021-06-06,723661,54531,0,638165,140027
2021-06-07,748795,57551,0,663952,142394
2021-06-08,775734,59972,0,691652,144054
2021-06-09,792324,62545,0,709420,145449
2021-06-10,808856,65735,0,727744,146847
2021-06-11,818226,70720,0,740112,148834
2021-06-12,822183,74357,0,746597,149943
2021-06-13,822569,74466,0,747008,150027
2021-06-14,831959,77214,0,757682,151491
2021-06-15,842145,79122,0,768452,152815
2021-06-16,854789,80549,0,778022,157316
2021-06-17,871096,82783,0,790252,163627
2021-06-18,885459,83319,0,799920,168858
2021-06-19,895880,84388,0,809199,171069
2021-06-20,896355,85767,0,810851,171271
2021-06-21,911236,86915,0,820725,177426
2021-06-22,932644,87608,0,833091,187161
2021-06-23,948925,88204,0,843890,193239
2021-06-24,970445,88694,0,857367,201772
2021-06-25,990465,90239,0,871419,209285
2021-06-26,1004751,91617,0,881325,215043
2021-06-27,1007842,92617,0,884544,215915
2021-06-28,1029443,94145,0,897574,226014
2021-06-29,1043926,97072,0,908255,232743
2021-06-30,1050608,99128,0,913949,235787
2021-07-01,1061211,100788,0,920079,241920
2021-07-02,1076329,102884,0,929770,249443
2021-07-03,1083326,106207,0,936239,253294
2021-07-04,1085335,106951,0,937797,254489
2021-07-05,1110314,108646,0,950015,268945
2021-07-06,1132668,110738,0,961571,281835
2021-07-07,1138696,114267,0,966937,286026
2021-07-08,1143111,118593,0,971624,290080
2021-07-09,1146241,122681,0,976036,292886
2021-07-10,1153613,124949,32,979977,298617
2021-07-11,1154756,125367,547,980863,299807
2021-07-12,1177710,126466,692,988409,316459
2021-07-13,1196670,126907,953,994310,330220
2021-07-14,1210995,128192,953,1001916,338224
2021-07-15,1225748,130709,1065,1007728,349794
2021-07-16,1235663,132700,1065,1011728,357700
2021-07-17,1240456,134194,1065,1014651,361064
2021-07-18,1244471,134568,1065,1016946,363158
2021-07-19,1266469,135504,1190,1024869,378294
2021-07-20,1291216,136047,1190,1034070,394383
2021-07-21,1293645,136173,1190,1035832,395176
2021-07-22,1317371,136564,1190,1046197,408928
2021-07-23,1339692,137109,1200,1057272,420729
2021-07-24,1394711,139365,1200,1089987,445289
2021-07-25,1399474,141913,1200,1094976,447611
2021-07-26,1411626,144649,1200,1103898,453577
2021-07-27,1418517,145912,1200,1109337,456292
2021-07-28,1421872,146060,1200,1112376,456756
2021-07-29,1438603,146060,1200,1122612,463251
2021-07-30,1474232,146238,1200,1141790,479880
2021-07-31,1512466,147363,1220,1169441,491608
2021-08-01,1520429,147906,1220,1176610,492945
2021-08-02,1535027,148955,1228,1186078,499132
2021-08-03,1565351,151691,1969,1207894,511117
2021-08-04,1577595,154571,1969,1217493,516642
