Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,35041,1764,0,28820,7983
2021-03-09,36500,1764,0,30025,8255
2021-03-10,39522,1764,0,32780,8522
2021-03-11,39609,1764,0,32852,8537
2021-03-12,43656,1764,0,35927,9509
2021-03-13,43774,2079,0,36028,9841
2021-03-14,43794,2079,0,36047,9842
2021-03-15,47717,2345,0,39451,10627
2021-03-16,58932,2514,0,50483,10963
2021-03-17,66964,2694,0,58421,11237
2021-03-18,70152,2789,0,61513,11428
2021-03-19,73298,2944,0,64566,11676
2021-03-20,75998,3101,0,67192,11907
2021-03-21,76065,3102,0,67255,11912
2021-03-22,83367,3300,0,74523,12144
2021-03-23,90924,3454,0,81646,12732
2021-03-24,93950,3453,0,84261,13142
2021-03-25,96872,3469,0,86838,13503
2021-03-26,98833,3544,0,88640,13737
2021-03-27,100676,3544,0,90341,13879
2021-03-28,100709,3544,0,90374,13879
2021-03-29,102983,3544,0,92398,14129
2021-03-30,105349,3661,0,94524,14486
2021-03-31,107357,3891,0,96332,14916
2021-04-01,107891,3891,0,96844,14938
2021-04-02,108491,3891,0,97424,14958
2021-04-03,109823,3891,0,98584,15130
2021-04-04,110262,3891,0,98974,15179
2021-04-05,112342,3891,0,100756,15477
2021-04-06,112953,3891,0,101311,15533
2021-04-07,115685,3901,0,103668,15918
2021-04-08,121086,3957,0,108519,16524
2021-04-09,126320,3972,0,113045,17247
2021-04-10,130371,3972,0,116616,17727
2021-04-11,130578,3972,0,116822,17728
2021-04-12,137508,4124,0,122806,18826
2021-04-13,141959,4195,0,126211,19943
2021-04-14,142009,4195,0,126250,19954
2021-04-15,149314,4359,0,131330,22343
2021-04-16,157894,4533,0,137017,25410
2021-04-17,167067,4715,0,143781,28001
2021-04-18,167496,5553,0,144979,28070
2021-04-19,175403,8181,0,152613,30971
2021-04-20,184277,10112,0,160714,33675
2021-04-21,192201,10673,0,166988,35886
2021-04-22,198083,11167,0,171575,37675
2021-04-23,200478,11465,0,173670,38273
2021-04-24,208821,11765,0,180019,40567
2021-04-25,208856,12034,0,180323,40567
2021-04-26,215084,12332,0,184679,42737
2021-04-27,215659,12332,0,184897,43094
2021-04-28,217165,12352,0,185179,44338
2021-04-29,217575,12352,0,185276,44651
2021-04-30,222525,12352,0,187166,47711
2021-05-01,227377,12352,0,189142,50587
2021-05-02,227378,12352,0,189143,50587
2021-05-03,232574,12352,0,191377,53549
2021-05-04,233126,12352,0,191665,53813
2021-05-05,233117,12380,0,191670,53827
2021-05-06,233170,12380,0,191682,53868
2021-05-07,238878,12380,0,192179,59079
2021-05-08,242469,12401,0,192472,62398
