Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,101925,4150,0,83563,22327
2021-03-09,108843,4179,0,86721,26303
2021-03-10,114049,4224,0,89074,29201
2021-03-11,118501,4229,0,91248,31484
2021-03-12,127632,4257,0,95614,36277
2021-03-13,132974,4396,0,98355,39018
2021-03-14,133354,4396,0,98672,39081
2021-03-15,141400,4517,0,103637,42283
2021-03-16,169650,4763,0,129279,45134
2021-03-17,249952,5921,0,208553,47320
2021-03-18,266897,6217,0,222336,50778
2021-03-19,280666,6509,0,233986,53189
2021-03-20,293249,6621,0,244791,55079
2021-03-21,294003,6612,0,245463,55152
2021-03-22,306956,8236,0,257584,57608
2021-03-23,322016,10060,0,272389,59687
2021-03-24,329444,10339,0,279616,60167
2021-03-25,347043,11630,0,297491,61182
2021-03-26,362359,12512,0,312927,61944
2021-03-27,372800,12885,0,323432,62253
2021-03-28,374130,12890,0,324742,62278
2021-03-29,390444,13717,0,341157,63004
2021-03-30,407515,14565,0,358139,63941
2021-03-31,412727,14937,0,363290,64374
2021-04-01,419120,14937,0,369355,64702
2021-04-02,424067,14935,0,374093,64909
2021-04-03,434817,14933,0,384169,65581
2021-04-04,438491,14932,0,387583,65840
2021-04-05,451824,14931,0,400188,66567
2021-04-06,455984,14930,0,404017,66897
2021-04-07,467990,14930,0,415102,67818
2021-04-08,496314,14929,0,441710,69533
2021-04-09,526549,14924,0,470052,71421
2021-04-10,549025,15457,0,491039,73443
2021-04-11,554763,15791,0,496405,74149
2021-04-12,591257,15794,0,529621,77430
2021-04-13,618818,16579,0,554228,81169
2021-04-14,621395,16578,0,556138,81835
2021-04-15,646851,22915,0,583782,85984
2021-04-16,655570,33481,0,599974,89077
2021-04-17,657441,45939,0,613290,90090
2021-04-18,657519,49305,0,616624,90200
2021-04-19,661292,52640,0,621965,91967
2021-04-20,684767,54619,0,635440,103946
2021-04-21,695194,55739,0,641434,109499
2021-04-22,718269,57245,0,654959,120555
2021-04-23,735322,57843,0,664903,128262
2021-04-24,755767,57902,0,675985,137684
2021-04-25,756199,57893,0,676233,137859
2021-04-26,766768,57887,0,681953,142702
2021-04-27,776879,57883,0,686432,148330
2021-04-28,777479,57857,0,686523,148813
2021-04-29,779035,57842,0,687262,149615
2021-04-30,792182,59740,0,693525,158397
2021-05-01,794477,60471,0,694412,160536
2021-05-02,794478,60471,0,694408,160541
2021-05-03,803021,61524,0,697515,167030
2021-05-04,807568,62026,0,699194,170400
2021-05-05,808036,62127,0,699146,171017
