Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
8/3/2021,22283,2542,0,18330,6494
9/3/2021,23814,2542,0,19592,6764
10/3/2021,24395,2542,0,20018,6919
11/3/2021,24651,2542,0,20245,6948
12/3/2021,26146,2542,0,21586,7102
13/03/2021,27476,2542,0,22863,7155
14/03/2021,27476,2542,0,22863,7155
15/03/2021,28744,2542,0,23888,7398
16/03/2021,36835,2533,0,31891,7477
17/03/2021,48846,2530,0,43876,7500
18/03/2021,50603,3041,0,45613,8031
19/03/2021,52343,4043,0,47342,9044
20/03/2021,54267,4783,0,49301,9749
21/03/2021,54867,4787,0,49901,9753
22/03/2021,59023,4803,0,54019,9807
23/03/2021,64086,4816,0,58705,10197
24/03/2021,67765,4815,0,62321,10259
25/03/2021,73942,4810,0,68184,10568
26/03/2021,75466,4807,0,69501,10772
27/03/2021,81027,4833,0,74904,10956
28/03/2021,82718,4833,0,76594,10957
29/03/2021,88978,4833,0,82466,11345
30/03/2021,95912,4837,0,89023,11726
31/03/2021,99525,4863,0,92456,11932
1/4/2021,100343,4863,0,93165,12041
2/4/2021,101813,4863,0,94504,12172
3/4/2021,105170,4863,0,97523,12510
4/4/2021,107414,4868,0,99604,12678
5/4/2021,111436,4873,0,103269,13040
6/4/2021,112820,4876,0,104464,13232
7/4/2021,114354,4876,0,105809,13421
8/4/2021,121943,4876,0,112659,14160
9/4/2021,129306,4885,0,119215,14976
10/4/2021,134042,4901,0,123575,15368
11/4/2021,134814,4901,0,124330,15385
12/4/2021,143386,4904,0,131963,16327
13/04/2021,150548,4904,0,138072,17380
14/04/2021,151014,4904,0,138435,17483
15/04/2021,156684,5370,0,143346,18708
16/04/2021,161865,5905,0,147874,19896
17/04/2021,164800,6428,0,150524,20704
18/04/2021,164798,6518,0,150608,20708
19/04/2021,167758,8053,0,153919,21892
20/04/2021,172832,9742,0,158532,24042
21/04/2021,174844,10581,0,160505,24920
22/04/2021,185075,11565,0,168336,28304
23/04/2021,192295,11971,0,174199,30067
24/04/2021,198817,11971,0,179448,31340
25/04/2021,199375,11971,0,179896,31450
26/04/2021,207266,11971,0,186132,33105
27/04/2021,210967,11971,0,188929,34009
28/04/2021,211468,12137,0,189381,34224
29/04/2021,213072,12477,0,190947,34602
30/04/2021,220674,12477,0,194442,38709
1/5/2021,222505,13029,0,196006,39528
2/5/2021,222839,13030,0,196027,39842
3/5/2021,228540,13030,0,198808,42762
4/5/2021,229612,14627,0,200873,43366
5/5/2021,229818,15078,0,201408,43488
6/5/2021,229965,16475,0,202770,43670
7/5/2021,240885,16478,0,207244,50119
8/5/2021,242668,16478,0,207905,51241
9/5/2021,242727,16478,0,207921,51284
10/5/2021,249838,17062,0,211317,55583
11/5/2021,253382,18956,0,214911,57427
12/5/2021,254031,19242,0,215702,57571
13/05/2021,254144,19504,0,216026,57622
