Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
8/3/2021,63522,6450,0,52737,17261
9/3/2021,67222,6450,0,54996,18702
10/3/2021,67493,6450,0,55075,18894
11/3/2021,67966,6450,0,55280,19162
12/3/2021,77277,6450,0,62441,21312
13/03/2021,79925,6450,0,64469,21932
14/03/2021,80067,6450,0,64601,21942
15/03/2021,87921,7405,0,71396,23956
16/03/2021,110756,9008,0,93458,26306
17/03/2021,143748,9006,0,125743,27011
18/03/2021,156536,8978,0,137899,27615
19/03/2021,167905,9878,0,148941,28842
20/03/2021,176814,10193,0,157658,29349
21/03/2021,177775,10191,0,158605,29361
22/03/2021,188363,10512,0,169076,29799
23/03/2021,198531,10693,0,179146,30078
24/03/2021,200602,11973,0,181240,31335
25/03/2021,213250,11961,0,193698,31513
26/03/2021,223968,11960,0,204243,31685
27/03/2021,230962,12114,0,211096,31980
28/03/2021,231140,12114,0,211265,31989
29/03/2021,242460,12110,0,222372,32198
30/03/2021,253132,12109,0,232657,32584
31/03/2021,255485,12250,0,234826,32909
1/4/2021,257981,12247,0,237242,32986
2/4/2021,260373,12246,0,239488,33131
3/4/2021,270316,12618,0,248706,34228
4/4/2021,274492,12676,0,252730,34438
5/4/2021,282379,12676,0,260265,34790
6/4/2021,285144,12676,0,262901,34919
7/4/2021,292754,12676,0,270194,35236
8/4/2021,310593,12675,0,287270,35998
9/4/2021,327543,12671,0,303327,36887
10/4/2021,340913,12666,0,315933,37646
11/4/2021,345657,12666,0,320347,37976
12/4/2021,360059,12664,0,332818,39905
13/04/2021,365852,12736,0,337472,41116
14/04/2021,365986,12736,0,337582,41140
15/04/2021,388338,12736,0,355148,45926
16/04/2021,403456,14911,0,368113,50254
17/04/2021,408926,21956,0,379171,51711
18/04/2021,409108,23033,0,380268,51873
19/04/2021,409636,25875,0,383303,52208
20/04/2021,440264,26079,0,403623,62720
21/04/2021,443341,26079,0,405688,63732
22/04/2021,454280,26225,0,412769,67736
23/04/2021,454696,26293,0,413063,67926
24/04/2021,478413,26293,0,428240,76466
25/04/2021,487211,26293,0,434054,79450
26/04/2021,489698,26293,0,435419,80572
27/04/2021,496468,26293,0,439252,83509
28/04/2021,496637,26293,0,439284,83646
29/04/2021,496670,26291,0,439234,83727
30/04/2021,511754,26499,0,442751,95502
1/5/2021,519116,26585,0,444686,101015
2/5/2021,519119,26585,0,444684,101020
3/5/2021,518976,26585,0,444539,101022
4/5/2021,525032,26585,0,446157,105460
5/5/2021,525027,26585,0,446136,105476
6/5/2021,524987,26585,0,446062,105510
7/5/2021,547387,26581,0,447503,126465
8/5/2021,560911,26580,0,448447,139044
9/5/2021,560902,26580,0,448438,139044
10/5/2021,560788,26580,0,448323,139045
11/5/2021,566677,26579,0,448928,144328
12/5/2021,566722,26665,0,448961,144426
13/05/2021,566694,26664,0,448932,144426
