Date,Covishield,Covaxin,Sputnik,Corbevax,Dose 1,Dose 2,Precaution Dose
2021-03-08,32986,3187,0,0,31249,4902,0
2021-03-09,37279,3187,0,0,35242,5232,0
2021-03-10,37745,3187,0,0,35662,5278,0
2021-03-11,38453,3187,0,0,36328,5320,0
2021-03-12,42630,3187,0,0,40277,5548,0
2021-03-13,45415,3187,0,0,42968,5642,0
2021-03-14,45442,3187,0,0,42995,5642,0
2021-03-15,50364,3810,0,0,47885,6297,0
2021-03-16,60090,3823,0,0,57581,6332,0
2021-03-17,63731,3821,0,0,61206,6346,0
2021-03-18,68906,5136,0,0,66417,7625,0
2021-03-19,73395,5135,0,0,70852,7678,0
2021-03-20,78182,5134,0,0,75606,7710,0
2021-03-21,78254,5134,0,0,75678,7710,0
2021-03-22,83096,5522,0,0,80506,8112,0
2021-03-23,88185,5520,0,0,85517,8188,0
2021-03-24,90467,5576,0,0,87779,8264,0
2021-03-25,95839,5946,0,0,93133,8652,0
2021-03-26,100368,5958,0,0,97599,8727,0
2021-03-27,105262,5955,0,0,102420,8797,0
2021-03-28,105264,5955,0,0,102421,8798,0
2021-03-29,111691,6070,0,0,108678,9083,0
2021-03-30,118419,6098,0,0,115212,9305,0
2021-03-31,121353,6097,0,0,118070,9380,0
2021-04-01,125572,6183,0,0,122165,9590,0
2021-04-02,126170,6183,0,0,122726,9627,0
2021-04-03,131211,6176,0,0,127527,9860,0
2021-04-04,133484,6175,0,0,129684,9975,0
2021-04-05,137083,6191,0,0,133069,10205,0
2021-04-06,137707,6193,0,0,133646,10254,0
2021-04-07,141180,6232,0,0,136915,10497,0
2021-04-08,147487,6254,0,0,142763,10978,0
2021-04-09,153402,6259,0,0,148133,11528,0
2021-04-10,158081,6257,0,0,152279,12059,0
2021-04-11,159108,6257,0,0,153218,12147,0
2021-04-12,165405,6301,0,0,158375,13331,0
2021-04-13,167984,6307,0,0,160333,13958,0
2021-04-14,167995,6307,0,0,160337,13965,0
2021-04-15,176812,6307,0,0,167097,16022,0
2021-04-16,187829,6305,0,0,174924,19210,0
2021-04-17,201945,6307,0,0,184887,23365,0
2021-04-18,203799,6307,0,0,186597,23509,0
2021-04-19,220625,6483,0,0,199914,27194,0
2021-04-20,235605,7653,0,0,212462,30796,0
2021-04-21,241814,8831,0,0,218354,32291,0
2021-04-22,251303,10074,0,0,226571,34806,0
2021-04-23,259417,11101,0,0,232727,37791,0
2021-04-24,263755,11360,0,0,235767,39348,0
2021-04-25,263782,11360,0,0,235777,39365,0
2021-04-26,270941,11756,0,0,240971,41726,0
2021-04-27,277028,11756,0,0,244802,43982,0
2021-04-28,278185,11756,0,0,245489,44452,0
2021-04-29,279840,11756,0,0,246245,45351,0
2021-04-30,280791,11951,0,0,246604,46138,0
2021-05-01,285021,12333,0,0,248077,49277,0
2021-05-02,285169,12339,0,0,248120,49388,0
2021-05-03,290556,13029,0,0,250253,53332,0
2021-05-04,291733,13553,0,0,251153,54133,0
2021-05-05,292000,13818,0,0,251489,54329,0
2021-05-06,295959,14402,0,0,253095,57266,0
2021-05-07,297995,15563,0,0,254763,58795,0
2021-05-08,300859,15809,0,0,255392,61276,0
2021-05-09,300858,15809,0,0,255391,61276,0
2021-05-10,309097,16942,0,0,258353,67686,0
2021-05-11,314228,17209,0,0,259952,71485,0
2021-05-12,319370,17972,0,0,261664,75678,0
2021-05-13,320382,18736,0,0,262879,76239,0
2021-05-14,327672,20496,0,0,266376,81792,0
2021-05-15,336725,22235,0,0,276509,82451,0
2021-05-16,336725,22235,0,0,276509,82451,0
2021-05-17,338119,23893,0,0,279538,82474,0
2021-05-18,338505,24317,0,0,280330,82492,0
2021-05-19,338663,24317,0,0,280488,82492,0
2021-05-20,338835,24360,0,0,280703,82492,0
2021-05-21,339223,24454,0,0,281180,82497,0
2021-05-22,339437,24454,0,0,281394,82497,0
2021-05-23,339437,24454,0,0,281394,82497,0
2021-05-24,339709,24520,0,0,281732,82497,0
2021-05-25,340341,24775,0,0,282619,82497,0
2021-05-26,340465,24775,0,0,282743,82497,0
2021-05-27,342323,24816,0,0,284642,82497,0
2021-05-28,351281,25108,0,0,293854,82535,0
