Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
8/3/2021,42284,3380,0,31206,14316
9/3/2021,45547,3380,0,33452,15490
10/3/2021,47241,3380,0,34614,16022
11/3/2021,50129,3380,0,36657,16867
12/3/2021,54081,3380,0,39672,17804
13/03/2021,56553,3380,0,41550,18398
14/03/2021,57165,3380,0,42009,18551
15/03/2021,59830,4115,0,44387,19573
16/03/2021,77384,4121,0,61536,19969
17/03/2021,130853,4401,0,114882,20372
18/03/2021,141744,4841,0,125591,20994
19/03/2021,152743,4918,0,136399,21262
20/03/2021,157771,5835,0,141461,22145
21/03/2021,158566,5921,0,142165,22322
22/03/2021,167095,5901,0,150597,22399
23/03/2021,177461,6035,0,160856,22640
24/03/2021,180358,6113,0,163726,22745
25/03/2021,192479,6304,0,175823,22960
26/03/2021,203019,6300,0,186261,23058
27/03/2021,209374,6475,0,192612,23237
28/03/2021,209732,6475,0,192927,23280
29/03/2021,218869,6473,0,201947,23395
30/03/2021,231400,6473,0,214311,23562
31/03/2021,234241,6472,0,217041,23672
1/4/2021,244805,6472,0,227314,23963
2/4/2021,259210,6471,0,241219,24462
3/4/2021,269810,6637,0,251472,24975
4/4/2021,273588,6666,0,255136,25118
5/4/2021,284428,6666,0,265509,25585
6/4/2021,287444,6666,0,268381,25729
7/4/2021,292239,6666,0,272743,26162
8/4/2021,311076,6665,0,290503,27238
9/4/2021,327338,6657,0,305658,28337
10/4/2021,344384,6746,0,321621,29509
11/4/2021,345300,6746,0,322408,29638
12/4/2021,365659,6771,0,340956,31474
13/04/2021,379372,7454,0,353563,33263
14/04/2021,381114,7530,0,354996,33648
15/04/2021,391729,9258,0,364863,36124
16/04/2021,395206,11301,0,368948,37559
17/04/2021,396517,15479,0,373695,38301
18/04/2021,397117,18233,0,376908,38442
19/04/2021,405828,21073,0,383420,43481
20/04/2021,412997,23274,0,388181,48090
21/04/2021,415990,24051,0,390128,49913
22/04/2021,420724,25025,0,392531,53218
23/04/2021,434652,25025,0,399366,60311
24/04/2021,458428,25380,0,412168,71640
25/04/2021,459699,25378,0,412975,72102
26/04/2021,475779,25596,0,422749,78626
27/04/2021,487833,25773,0,429664,83942
28/04/2021,489640,26465,0,431270,84835
29/04/2021,501375,26465,0,437740,90100
30/04/2021,512458,26667,0,443898,95227
1/5/2021,523378,28207,0,450217,101368
2/5/2021,523369,28207,0,450208,101368
3/5/2021,529489,28580,0,451201,106868
4/5/2021,537832,29584,0,453058,114358
5/5/2021,539711,29934,0,453619,116026
6/5/2021,553804,30088,0,455628,128264
7/5/2021,567470,30764,0,458396,139838
8/5/2021,573185,31011,0,459853,144343
9/5/2021,573185,31089,0,459930,144344
10/5/2021,585882,31646,0,463026,154502
11/5/2021,592175,32125,0,465057,159243
12/5/2021,592505,32957,0,465912,159550
13/05/2021,596033,34563,0,468216,162380
14/05/2021,596073,34566,0,468193,162446
15/05/2021,613153,37591,0,486191,164553
16/05/2021,615671,44285,0,494479,165477
17/05/2021,615807,44632,0,494928,165511
18/05/2021,615928,44636,0,495052,165512
19/05/2021,616230,45039,0,495654,165615
20/05/2021,616433,45033,0,495851,165615
21/05/2021,616921,45023,0,496329,165615
22/05/2021,625542,45142,0,505068,165616
23/05/2021,625542,45142,0,505068,165616
24/05/2021,629345,45487,0,509216,165616
25/05/2021,632307,45735,0,512426,165616
26/05/2021,633114,45836,0,513333,165617
27/05/2021,646923,46097,0,527401,165619
28/05/2021,661619,46332,0,542331,165620
29/05/2021,665756,52135,0,546890,171001
30/05/2021,666580,53487,0,547758,172309
31/05/2021,681537,53839,0,562847,172529
1/6/2021,696778,54347,0,578057,173068
2/6/2021,700046,56883,0,581599,175330
3/6/2021,712580,57938,0,594338,176180
4/6/2021,727929,58594,0,609630,176893
5/6/2021,742125,60002,0,624248,177879
6/6/2021,744839,62349,0,627089,180099
7/6/2021,757618,64123,0,640893,180848
8/6/2021,768458,71251,0,658048,181661
9/6/2021,774711,74750,0,666535,182926
10/6/2021,781639,76627,0,675003,183263
11/6/2021,785053,79867,0,680954,183966
12/6/2021,786022,79931,0,681910,184043
13/06/2021,786024,79914,0,681895,184043
14/06/2021,806101,80078,0,699074,187105
15/06/2021,823890,80051,0,714657,189284
16/06/2021,829147,80049,0,719675,189521
17/06/2021,838812,80044,0,729190,189666
18/06/2021,841316,80038,0,731559,189795
19/06/2021,863071,80036,0,747436,195671
20/06/2021,870610,80035,0,754090,196555
21/06/2021,886648,86091,0,767511,205228
22/06/2021,903763,87635,0,781222,210176
23/06/2021,909739,87997,0,786266,211470
24/06/2021,926723,90605,0,798215,219113
25/06/2021,943714,91256,0,809681,225289
26/06/2021,951172,91460,0,813253,229379
27/06/2021,951432,91764,0,813704,229492
28/06/2021,970026,92165,0,823024,239167
29/06/2021,980224,94472,0,829224,245472
30/06/2021,981696,96628,0,831452,246872
1/7/2021,997142,97077,0,832068,262151
2/7/2021,1018092,97740,0,834453,281379
3/7/2021,1026750,104532,0,841954,289328
4/7/2021,1026884,106068,0,843552,289400
5/7/2021,1030366,111439,0,849478,292327
6/7/2021,1031278,112810,0,851079,293009
7/7/2021,1031944,112863,0,851578,293229
8/7/2021,1049948,113586,0,855070,308464
9/7/2021,1074797,114223,0,858666,330354
10/7/2021,1090806,115115,0,862430,343491
11/7/2021,1093249,115115,0,862801,345563
12/7/2021,1095790,121325,0,864989,352126
13/07/2021,1112114,121659,110,870465,363418
14/07/2021,1117517,122950,210,876531,364146
15/07/2021,1137201,122960,313,885969,374505
16/07/2021,1140164,123191,415,888358,375412
17/07/2021,1141831,123191,415,889378,376059
18/07/2021,1148955,123197,415,893572,378995
19/07/2021,1175552,123197,516,907677,391588
20/07/2021,1200949,123883,616,921594,403854
21/07/2021,1206826,124769,716,925362,406949
22/07/2021,1227989,124794,831,937807,415807
23/07/2021,1231412,130903,939,943828,419426
24/07/2021,1250722,132281,939,956310,427632
25/07/2021,1252334,137793,939,962903,428163
26/07/2021,1255068,137793,1019,965344,428536
27/07/2021,1258665,137793,1097,968493,429062
28/07/2021,1262185,137793,1198,971722,429454
29/07/2021,1295048,138136,1198,990706,443676
30/07/2021,1328063,138481,1198,1011262,456480
31/07/2021,1347587,147132,1198,1034990,460927
