Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,51781,4051,0,38891,16450
2021-03-09,56887,4051,0,42852,18093
2021-03-10,58859,4051,0,44128,18789
2021-03-11,59628,4051,0,44676,19010
2021-03-12,65053,4051,0,48522,20589
2021-03-13,66628,4051,0,49588,21098
2021-03-14,66665,4051,0,49608,21115
2021-03-15,70600,4051,0,52927,21731
2021-03-16,88614,6200,0,70903,23911
2021-03-17,133544,6197,0,115554,24187
2021-03-18,146111,6189,0,127706,24594
2021-03-19,154095,7262,0,135542,25815
2021-03-20,161339,7681,0,142684,26336
2021-03-21,161396,7686,0,142740,26342
2021-03-22,171541,7691,0,152533,26699
2021-03-23,180792,7693,0,161077,27408
2021-03-24,183119,7692,0,163242,27569
2021-03-25,196507,7917,0,176087,28337
2021-03-26,206518,7916,0,185592,28842
2021-03-27,212882,7916,0,191700,29098
2021-03-28,212956,7916,0,191760,29112
2021-03-29,225631,7914,0,203992,29553
2021-03-30,238539,7913,0,216450,30002
2021-03-31,241257,8015,0,218954,30318
2021-04-01,245481,8015,0,222982,30514
2021-04-02,247449,8014,0,224854,30609
2021-04-03,253469,8014,0,230436,31047
2021-04-04,255153,8014,0,231973,31194
2021-04-05,263483,8014,0,239669,31828
2021-04-06,265389,8014,0,241407,31996
2021-04-07,274108,8013,0,249588,32533
2021-04-08,290087,8008,0,264167,33928
2021-04-09,304149,8088,0,276420,35817
2021-04-10,317059,8085,0,287988,37156
2021-04-11,318883,8084,0,289720,37247
2021-04-12,336194,8083,0,304622,39655
2021-04-13,350473,8121,0,316462,42132
2021-04-14,351233,8121,0,316985,42369
2021-04-15,367886,8231,0,330572,45545
2021-04-16,383017,11775,0,345563,49229
2021-04-17,386262,17762,0,353439,50585
2021-04-18,386292,17762,0,353454,50600
2021-04-19,391037,20711,0,358959,52789
2021-04-20,405178,21105,0,368898,57385
2021-04-21,410187,21105,0,371740,59552
2021-04-22,417833,21193,0,375447,63579
2021-04-23,426426,21193,0,379747,67872
2021-04-24,434360,21193,0,384602,70951
2021-04-25,434629,21193,0,384724,71098
2021-04-26,442442,21193,0,388426,75209
2021-04-27,451124,21193,0,392947,79370
2021-04-28,452081,26412,0,398242,80251
2021-04-29,460006,26412,0,401953,84465
2021-04-30,463783,26411,0,403530,86664
2021-05-01,463693,26411,0,403440,86664
2021-05-02,463682,26411,0,403429,86664
2021-05-03,469246,26411,0,404527,91130
2021-05-04,469109,26411,0,404390,91130
2021-05-05,469057,26411,0,404338,91130
2021-05-06,483632,26411,0,407443,102600
2021-05-07,498335,26410,0,411173,113572
2021-05-08,498245,27258,0,411870,113633
2021-05-09,498244,27258,0,411869,113633
2021-05-10,502371,27779,0,413590,116560
2021-05-11,502499,28317,0,414083,116733
2021-05-12,502666,28863,0,414726,116803
2021-05-13,502915,29408,0,415442,116881
2021-05-14,503204,30007,0,416221,116990
2021-05-15,515658,33320,0,429788,119190
2021-05-16,515838,33543,0,430183,119198
2021-05-17,516143,33556,0,430501,119198
2021-05-18,516258,33598,0,430658,119198
2021-05-19,516315,33699,0,430816,119198
2021-05-20,516515,33766,0,431083,119198
2021-05-21,517008,33885,0,431695,119198
2021-05-22,517651,34067,0,432520,119198
2021-05-23,517652,34067,0,432521,119198
2021-05-24,520308,34928,0,436037,119199
2021-05-25,522510,35540,0,438847,119203
2021-05-26,524129,35785,0,440711,119203
2021-05-27,527112,36205,0,444114,119203
2021-05-28,544808,36204,0,461568,119444
2021-05-29,548513,38974,0,465363,122124
2021-05-30,548511,38973,0,465360,122124
2021-05-31,558110,38969,0,474904,122175
2021-06-01,568333,44445,0,485210,127568
2021-06-02,575096,44436,0,491554,127978
2021-06-03,587030,44424,0,502836,128618
2021-06-04,596794,44362,0,511799,129357
2021-06-05,612917,44904,0,526578,131243
2021-06-06,617125,44896,0,530709,131312
2021-06-07,629047,47490,0,544927,131610
2021-06-08,637516,53444,0,554413,136547
2021-06-09,643539,54540,0,560897,137182
2021-06-10,644431,54525,0,561715,137241
2021-06-11,645515,54519,0,562642,137392
2021-06-12,647581,60222,0,565527,142276
2021-06-13,650146,60216,0,567955,142407
2021-06-14,663195,60154,0,580557,142792
2021-06-15,682427,60111,0,592633,149905
2021-06-16,690057,60109,0,597507,152659
2021-06-17,696809,60103,0,603846,153066
2021-06-18,702291,60098,0,608672,153717
2021-06-19,708037,60094,0,613420,154711
2021-06-20,710569,60094,0,615585,155078
2021-06-21,732725,60085,0,627030,165780
2021-06-22,758379,60061,0,639796,178644
2021-06-23,768935,64437,0,645177,188195
2021-06-24,777628,64467,0,652974,189121
2021-06-25,796241,64451,0,663323,197369
2021-06-26,799650,67324,0,666072,200902
2021-06-27,800507,67324,0,666903,200928
2021-06-28,812642,67324,0,672265,207701
2021-06-29,816900,68386,0,675110,210176
2021-06-30,825546,68647,0,678856,215337
2021-07-01,827878,69869,0,680788,216959
2021-07-02,839214,70004,0,684697,224521
2021-07-03,842021,70476,0,686563,225934
2021-07-04,842021,70476,0,686563,225934
2021-07-05,847787,71199,0,688539,230447
2021-07-06,852800,71957,0,690204,234553
2021-07-07,857573,72717,0,691439,238851
2021-07-08,858673,73442,0,692547,239568
2021-07-09,862704,74652,0,695407,241949
2021-07-10,872764,75331,0,696556,251539
2021-07-11,873067,75331,0,696838,251560
2021-07-12,888063,75901,0,699195,264769
2021-07-13,903156,76469,0,701847,277778
2021-07-14,907651,78330,0,706665,279316
2021-07-15,910148,79186,0,709330,280004
2021-07-16,915667,80086,0,713667,282086
2021-07-17,922928,80981,0,719525,284384
2021-07-18,926848,81368,0,722582,285634
2021-07-19,948948,82180,0,727449,303679
2021-07-20,966967,82500,0,730661,318806
2021-07-21,976482,83187,0,737990,321679
2021-07-22,988218,83683,0,742862,329039
2021-07-23,1002650,83975,0,749862,336763
2021-07-24,1056579,84774,0,778148,363205
2021-07-25,1066037,84796,0,786494,364339
2021-07-26,1087643,90046,0,803432,374257
2021-07-27,1091573,96525,0,812565,375533
2021-07-28,1095611,96558,0,816390,375779
2021-07-29,1099476,96630,0,820004,376102
2021-07-30,1126057,96767,0,837281,385543
2021-07-31,1163889,98093,0,868980,393002
2021-08-01,1168964,99453,0,874698,393719
2021-08-02,1198126,99935,0,900941,397120
2021-08-03,1210922,102102,0,913656,399368
2021-08-04,1213270,102779,0,916364,399685
2021-08-05,1216813,102835,0,919764,399884
2021-08-06,1234363,109005,0,938556,404812
2021-08-07,1241544,110294,0,946424,405414
2021-08-08,1245325,110294,0,949995,405624
2021-08-09,1268902,110814,0,969495,410221
2021-08-10,1272312,110845,0,972677,410480
2021-08-11,1290888,120449,0,999887,411450
2021-08-12,1314450,120528,0,1022253,412725
2021-08-13,1348796,121055,0,1052928,416923
2021-08-14,1363237,121219,0,1065097,419359
2021-08-15,1380640,121219,0,1080890,420969
2021-08-16,1412737,121249,0,1109851,424135
2021-08-17,1429821,121279,0,1125337,425763
2021-08-18,1463086,121310,0,1156415,427981
2021-08-19,1488459,121361,0,1180153,429667
2021-08-20,1498700,121361,0,1189240,430821
2021-08-21,1498585,121361,0,1189162,430784
2021-08-22,1498876,121361,0,1189415,430822
2021-08-23,1529908,121361,0,1214112,437157
2021-08-24,1549934,123176,0,1228342,444768
2021-08-25,1571864,126057,0,1244596,453325
2021-08-26,1586357,127936,0,1254852,459441
2021-08-27,1612282,128269,0,1273160,467391
2021-08-28,1625232,134742,0,1284364,475610
2021-08-29,1626789,135532,0,1286106,476215
2021-08-30,1653805,138083,0,1302810,489078
