Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,62980,6348,0,49509,19829
2021-03-09,68432,6348,0,54071,20719
2021-03-10,70538,6348,0,54979,21917
2021-03-11,76437,6348,0,59948,22847
2021-03-12,84558,6546,0,67045,24069
2021-03-13,88543,6861,0,70759,24655
2021-03-14,88597,6861,0,70810,24658
2021-03-15,98351,7180,0,79796,25746
2021-03-16,126548,7642,0,107513,26677
2021-03-17,161666,7769,0,142613,26822
2021-03-18,174693,8955,0,155448,28200
2021-03-19,185363,9993,0,165897,29459
2021-03-20,193964,10897,0,174334,30527
2021-03-21,194248,11057,0,174625,30680
2021-03-22,203075,11657,0,183350,31382
2021-03-23,212403,12490,0,192620,32273
2021-03-24,213687,12501,0,193840,32348
2021-03-25,226295,12947,0,206263,32979
2021-03-26,236332,13106,0,216042,33396
2021-03-27,247430,13142,0,226877,33695
2021-03-28,248651,13142,0,228084,33709
2021-03-29,261444,13194,0,240551,34087
2021-03-30,273997,13238,0,252612,34623
2021-03-31,277935,13261,0,256226,34970
2021-04-01,287763,13331,0,265446,35648
2021-04-02,298226,13334,0,275173,36387
2021-04-03,306371,13329,0,282553,37147
2021-04-04,309620,13322,0,285532,37410
2021-04-05,316712,13334,0,291872,38174
2021-04-06,320030,13344,0,294835,38539
2021-04-07,327547,13344,0,301611,39280
2021-04-08,342334,13343,0,314931,40746
2021-04-09,355866,13378,0,326803,42441
2021-04-10,369554,13517,0,338786,44285
2021-04-11,382314,13515,0,351259,44570
2021-04-12,399278,13570,0,365337,47511
2021-04-13,407000,13646,0,371185,49461
2021-04-14,407736,13646,0,371724,49658
2021-04-15,428067,13678,0,388039,53706
2021-04-16,451198,14656,0,406817,59037
2021-04-17,468130,19254,0,424010,63374
2021-04-18,472030,19962,0,428186,63806
2021-04-19,488808,26728,0,447207,68329
2021-04-20,513206,30512,0,469141,74577
2021-04-21,519816,31506,0,474868,76454
2021-04-22,534426,32097,0,485307,81216
2021-04-23,550831,32243,0,496775,86299
2021-04-24,567394,32486,0,507670,92210
2021-04-25,568057,32485,0,508033,92509
2021-04-26,584175,32687,0,519209,97653
2021-04-27,597995,32998,0,528614,102379
2021-04-28,598424,32997,0,528773,102648
2021-04-29,601625,33152,0,530528,104249
2021-04-30,615215,33279,0,533885,114609
2021-05-01,616946,33292,0,534064,116174
2021-05-02,616959,33292,0,534056,116195
2021-05-03,627230,33345,0,536023,124552
2021-05-04,629904,33368,0,536257,127015
2021-05-05,630456,33554,0,536519,127491
2021-05-06,633340,33813,0,537109,130044
2021-05-07,646712,34244,0,538406,142550
2021-05-08,658465,34244,0,539704,153005
2021-05-09,658593,34244,0,539798,153039
2021-05-10,664067,34599,0,540720,157946
2021-05-11,671804,34800,0,541890,164714
2021-05-12,672329,35045,0,542389,164985
2021-05-13,672965,35167,0,542572,165560
2021-05-14,674560,35524,0,543259,166825
2021-05-15,691420,35702,0,559127,167995
2021-05-16,691783,38294,0,559980,170097
2021-05-17,694583,40716,0,563728,171571
2021-05-18,695654,49164,0,569532,175286
2021-05-19,697574,50492,0,572003,176063
2021-05-20,698016,50971,0,572690,176297
2021-05-21,698053,51316,0,572820,176549
2021-05-22,698756,51591,0,573797,176550
2021-05-23,698756,51589,0,573795,176550
2021-05-24,702456,51722,0,577619,176559
2021-05-25,705932,51853,0,581219,176566
2021-05-26,706920,51888,0,582237,176571
2021-05-27,722435,51931,0,597733,176633
2021-05-28,738002,51929,0,613260,176671
2021-05-29,746238,51927,0,621471,176694
2021-05-30,746238,51927,0,621471,176694
2021-05-31,755145,54492,0,630339,179298
2021-06-01,768090,56424,0,643481,181033
2021-06-02,776457,58135,0,652114,182478
2021-06-03,788369,58285,0,663987,182667
2021-06-04,811474,59339,0,686793,184020
2021-06-05,825510,59538,0,700660,184388
2021-06-06,835882,59538,0,710754,184666
2021-06-07,855033,63531,0,732770,185794
