Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
8/3/2021,49738,5226,0,40257,12261
9/3/2021,57149,5226,0,48746,13638
10/3/2021,62254,5226,0,52871,14618
11/3/2021,65234,5226,0,54988,15481
12/3/2021,70392,5226,0,58867,16760
13-03-2021,72484,5226,0,60460,17259
14-03-2021,72611,5226,0,60578,17268
15-03-2021,77259,5597,0,64298,18567
16-03-2021,94122,6185,0,80423,19884
17-03-2021,116946,6635,0,103002,20579
18-03-2021,126163,7249,0,111881,21531
19-03-2021,136118,7837,0,121626,22329
20-03-2021,144417,8338,0,129821,22934
21-03-2021,144719,8348,0,130089,22978
22-03-2021,155934,8610,0,141146,23398
23-03-2021,168182,8887,0,153263,23806
24-03-2021,175085,9068,0,160077,24076
25-03-2021,187813,9214,0,172690,24337
26-03-2021,199041,9476,0,183811,24706
27-03-2021,211409,9688,0,196041,25056
28-03-2021,211427,9688,0,196059,25056
29-03-2021,222172,9766,0,206708,25230
30-03-2021,237234,9835,0,221592,25477
31-03-2021,243105,9871,0,227362,25614
1/4/2021,247679,9897,0,231837,25739
2/4/2021,253012,9923,0,237020,25915
3/4/2021,261884,9925,0,245574,26235
4/4/2021,264588,9926,0,248211,26303
5/4/2021,273945,9931,0,257385,26491
6/4/2021,275814,9931,0,259193,26552
7/4/2021,282438,9942,0,265637,26743
8/4/2021,297612,9944,0,280275,27281
9/4/2021,315504,10000,0,297416,28088
10/4/2021,329409,10010,0,310723,28696
11/4/2021,335429,10010,0,316581,28858
12/4/2021,363016,10010,0,342670,30356
13-04-2021,372859,10014,0,351393,31480
14-04-2021,373418,10014,0,351831,31601
15-04-2021,386842,10048,0,363160,33730
16-04-2021,405217,10079,0,378655,36641
17-04-2021,419545,11289,0,391631,39203
18-04-2021,421159,11928,0,393590,39497
19-04-2021,430056,14487,0,402720,41823
20-04-2021,451573,15990,0,420016,47547
21-04-2021,463845,17389,0,429834,51400
22-04-2021,478440,18685,0,440688,56437
23-04-2021,485258,19990,0,445978,59270
24-04-2021,502046,21659,0,458072,65633
25-04-2021,503094,22110,0,459396,65808
26-04-2021,518978,24446,0,471994,71430
27-04-2021,526976,25156,0,477802,74330
28-04-2021,529782,25443,0,479601,75624
29-04-2021,530991,27579,0,482228,76342
30-04-2021,531087,29806,0,484204,76689
1/5/2021,532805,30792,0,485542,78055
2/5/2021,532808,30792,0,485543,78057
3/5/2021,538551,31784,0,487859,82476
4/5/2021,545032,32254,0,489654,87632
5/5/2021,546092,32455,0,490134,88413
6/5/2021,547796,32610,0,490655,89751
7/5/2021,561945,33239,0,493815,101369
8/5/2021,570594,34001,0,496397,108198
9/5/2021,570928,34001,0,496623,108306
10/5/2021,582452,35161,0,500247,117366
11/5/2021,589591,36297,0,502824,123064
12/5/2021,592209,36696,0,503953,124952
13-05-2021,592497,36852,0,504104,125245
14-05-2021,595159,37855,0,505857,127157
15-05-2021,595115,37853,0,505808,127160
16-05-2021,595507,37852,0,506195,127164
17-05-2021,605465,38808,0,517009,127264
18-05-2021,612187,39690,0,524222,127655
19-05-2021,614016,40247,0,526359,127904
20-05-2021,616023,40539,0,528491,128071
21-05-2021,617146,40588,0,529661,128073
22-05-2021,617554,40647,0,530118,128083
23-05-2021,617683,40647,0,530247,128083
24-05-2021,621732,40769,0,534380,128121
25-05-2021,624680,40865,0,537410,128135
26-05-2021,626035,40985,0,538873,128147
27-05-2021,631419,41219,0,544472,128166
28-05-2021,641571,41355,0,554697,128229
29-05-2021,652712,41443,0,565874,128281
30-05-2021,653395,41435,0,566549,128281
31-05-2021,663963,44074,0,577481,130556
1/6/2021,675213,46056,0,588789,132480
2/6/2021,681980,47872,0,595670,134182
3/6/2021,694180,50486,0,608016,136650
4/6/2021,708503,52248,0,622384,138367
5/6/2021,722093,54272,0,636402,139963
6/6/2021,723661,54531,0,638165,140027
7/6/2021,748795,57551,0,663952,142394
8/6/2021,775734,59972,0,691652,144054
9/6/2021,792324,62545,0,709420,145449
10/6/2021,808856,65735,0,727744,146847
11/6/2021,818226,70720,0,740112,148834
12/6/2021,822183,74357,0,746597,149943
13-06-2021,822569,74466,0,747008,150027
14-06-2021,831959,77214,0,757682,151491
15-06-2021,842145,79122,0,768452,152815
16-06-2021,854789,80549,0,778022,157316
17-06-2021,871096,82783,0,790252,163627
18-06-2021,885459,83319,0,799920,168858
19-06-2021,895880,84388,0,809199,171069
20-06-2021,896355,85767,0,810851,171271
21-06-2021,911236,86915,0,820725,177426
22-06-2021,932644,87608,0,833091,187161
23-06-2021,948925,88204,0,843890,193239
24-06-2021,970445,88694,0,857367,201772
25-06-2021,990465,90239,0,871419,209285
26-06-2021,1004751,91617,0,881325,215043
27-06-2021,1007842,92617,0,884544,215915
28-06-2021,1029443,94145,0,897574,226014
29-06-2021,1043926,97072,0,908255,232743
30-06-2021,1050608,99128,0,913949,235787
1/7/2021,1061211,100788,0,920079,241920
2/7/2021,1076329,102884,0,929770,249443
3/7/2021,1083326,106207,0,936239,253294
4/7/2021,1085335,106951,0,937797,254489
5/7/2021,1110314,108646,0,950015,268945
6/7/2021,1132668,110738,0,961571,281835
7/7/2021,1138696,114267,0,966937,286026
8/7/2021,1143111,118593,0,971624,290080
9/7/2021,1146241,122681,0,976036,292886
10/7/2021,1153613,124949,32,979977,298617
11/7/2021,1154756,125367,547,980863,299807
12/7/2021,1177710,126466,692,988409,316459
13-07-2021,1196670,126907,953,994310,330220
14-07-2021,1210995,128192,953,1001916,338224
15-07-2021,1225748,130709,1065,1007728,349794
16-07-2021,1235663,132700,1065,1011728,357700
17-07-2021,1240456,134194,1065,1014651,361064
18-07-2021,1244471,134568,1065,1016946,363158
19-07-2021,1266469,135504,1190,1024869,378294
20-07-2021,1291216,136047,1190,1034070,394383
21-07-2021,1293645,136173,1190,1035832,395176
22-07-2021,1317371,136564,1190,1046197,408928
23-07-2021,1339692,137109,1200,1057272,420729
24-07-2021,1394711,139365,1200,1089987,445289
25-07-2021,1399474,141913,1200,1094976,447611
26-07-2021,1411626,144649,1200,1103898,453577
27-07-2021,1418517,145912,1200,1109337,456292
28-07-2021,1421872,146060,1200,1112376,456756
29-07-2021,1438603,146060,1200,1122612,463251
30-07-2021,1474232,146238,1200,1141790,479880
31-07-2021,1512466,147363,1220,1169441,491608
