Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,60639,4004,0,52216,12112
2021-03-09,66169,4004,0,56253,13928
2021-03-10,67317,4004,0,56903,14426
2021-03-11,67349,4004,0,56934,14427
2021-03-12,72538,4004,0,60264,16286
2021-03-13,73291,4004,0,60794,16509
2021-03-14,73492,4004,0,60979,16525
2021-03-15,79420,4839,0,65491,18776
2021-03-16,99055,4967,0,83749,20273
2021-03-17,134421,4953,0,118563,20811
2021-03-18,144725,4952,0,128205,21472
2021-03-19,154118,4950,0,137294,21774
2021-03-20,163795,4949,0,146660,22084
2021-03-21,164021,4949,0,146882,22088
2021-03-22,174106,4940,0,156803,22243
2021-03-23,185113,7173,0,167797,24489
2021-03-24,190126,7165,0,172723,24568
2021-03-25,202297,7160,0,184552,24905
2021-03-26,213472,7158,0,195063,25567
2021-03-27,222303,7473,0,203402,26374
2021-03-28,222655,7474,0,203751,26378
2021-03-29,233683,7474,0,214248,26909
2021-03-30,244915,7462,0,224979,27398
2021-03-31,249876,7461,0,229567,27770
2021-04-01,252305,7459,0,231809,27955
2021-04-02,254556,7459,0,233887,28128
2021-04-03,261808,7685,0,240621,28872
2021-04-04,264188,7721,0,242793,29116
2021-04-05,272694,7721,0,250842,29573
2021-04-06,275995,7720,0,253931,29784
2021-04-07,282741,7720,0,260077,30384
2021-04-08,298718,7718,0,274681,31755
2021-04-09,316818,7714,0,290597,33935
2021-04-10,325170,7712,0,297868,35014
2021-04-11,325896,7712,0,298435,35173
2021-04-12,346783,7712,0,315999,38496
2021-04-13,358798,7712,0,325123,41387
2021-04-14,358917,7712,0,325205,41424
2021-04-15,368349,7863,0,332566,43646
2021-04-16,377740,8273,0,339626,46387
2021-04-17,381987,8270,0,342550,47707
2021-04-18,381958,8269,0,342515,47712
2021-04-19,388034,8694,0,345696,51032
2021-04-20,393369,9237,0,348587,54019
2021-04-21,408077,9481,0,356728,60830
2021-04-22,416702,9681,0,361458,64925
2021-04-23,419045,9905,0,362699,66251
2021-04-24,443726,9905,0,377501,76130
2021-04-25,443936,9901,0,377644,76193
2021-04-26,445151,10375,0,378437,77089
2021-04-27,450488,10375,0,380870,79993
2021-04-28,450772,10824,0,381395,80201
2021-04-29,451501,11559,0,382081,80979
2021-04-30,473826,11557,0,383882,101501
2021-05-01,473795,12916,0,385130,101581
2021-05-02,473801,12917,0,385131,101587
2021-05-03,473668,13804,0,385860,101612
2021-05-04,481414,14438,0,387117,108735
2021-05-05,482946,14986,0,387826,110106
2021-05-06,484094,16011,0,388781,111324
2021-05-07,486909,16902,0,389681,114130
2021-05-08,486955,17421,0,390137,114239
2021-05-09,486965,17421,0,390136,114250
2021-05-10,502373,18514,0,392767,128120
2021-05-11,503978,19352,0,393762,129568
2021-05-12,514817,19529,0,395122,139224
2021-05-13,516089,19634,0,395423,140300
2021-05-14,518950,20590,0,396571,142969
2021-05-15,528658,21322,0,406005,143975
2021-05-16,528765,21322,0,406111,143976
2021-05-17,529841,21322,0,407187,143976
2021-05-18,530748,23265,0,410020,143993
2021-05-19,532637,24508,0,413038,144107
2021-05-20,533559,25621,0,414961,144219
2021-05-21,534319,31049,0,420778,144590
2021-05-22,535268,31216,0,421894,144590
2021-05-23,536316,31316,0,423044,144588
2021-05-24,539110,31561,0,426082,144589
2021-05-25,540562,32114,0,428054,144622
2021-05-26,542079,32257,0,429713,144623
2021-05-27,562403,32420,0,450072,144751
2021-05-28,565637,32602,0,453484,144755
2021-05-29,568397,33272,0,456905,144764
2021-05-30,568446,33264,0,456946,144764
2021-05-31,580555,34504,0,469040,146019
2021-06-01,591154,35704,0,480544,146314
2021-06-02,602582,36572,0,492211,146943
2021-06-03,606082,38015,0,496169,147928
2021-06-04,607787,39329,0,498048,149068
2021-06-05,608561,39949,0,499198,149312
2021-06-06,608566,39948,0,499201,149313
2021-06-07,629686,41071,0,520353,150404
2021-06-08,646005,44402,0,538888,151519
2021-06-09,655520,45599,0,549570,151549
2021-06-10,657923,46670,0,552091,152502
2021-06-11,660844,48812,0,555499,154157
2021-06-12,661792,50522,0,556887,155427
2021-06-13,662585,51258,0,558291,155552
2021-06-14,664325,53779,0,562296,155808
2021-06-15,664812,56552,0,564945,156419
2021-06-16,689019,56552,0,579792,165779
