Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,51606,4048,0,41346,14134
2021-03-09,57642,4236,0,47194,14686
2021-03-10,59310,4296,0,48461,15147
2021-03-11,62256,4296,0,50778,15776
2021-03-12,70048,4296,0,58228,16118
2021-03-13,73877,4607,0,61963,16523
2021-03-14,73893,4607,0,61979,16523
2021-03-15,81842,4809,0,69817,16836
2021-03-16,103914,5475,0,92069,17320
2021-03-17,127681,5521,0,115829,17373
2021-03-18,136588,5936,0,124711,17813
2021-03-19,145848,5955,0,133853,17950
2021-03-20,154405,6840,0,142617,18628
2021-03-21,154697,6876,0,142931,18642
2021-03-22,164905,6893,0,153107,18691
2021-03-23,175938,7511,0,164226,19223
2021-03-24,181340,7567,0,169629,19278
2021-03-25,190474,7959,0,178623,19810
2021-03-26,198440,7957,0,186405,19992
2021-03-27,204814,8090,0,192662,20242
2021-03-28,204832,8090,0,192673,20249
2021-03-29,213209,8088,0,200894,20403
2021-03-30,218937,8265,0,206400,20802
2021-03-31,221984,8385,0,209140,21229
2021-04-01,225515,8397,0,212478,21434
2021-04-02,228002,8396,0,214797,21601
2021-04-03,233861,8465,0,220286,22040
2021-04-04,234934,8487,0,221296,22125
2021-04-05,240186,8485,0,226162,22509
2021-04-06,241479,8485,0,227328,22636
2021-04-07,245235,8484,0,230717,23002
2021-04-08,255459,8718,0,240251,23926
2021-04-09,266469,8774,0,250138,25105
2021-04-10,273929,8871,0,256916,25884
2021-04-11,274537,8895,0,257485,25947
2021-04-12,288898,9354,0,270464,27788
2021-04-13,300702,9674,0,280515,29861
2021-04-14,303448,9806,0,282715,30539
2021-04-15,317194,9922,0,293201,33915
2021-04-16,331729,10106,0,303566,38269
2021-04-17,344318,10842,0,312701,42459
2021-04-18,344889,10841,0,313084,42646
2021-04-19,357562,12136,0,321972,47726
2021-04-20,362862,13267,0,325639,50490
2021-04-21,367550,14633,0,329314,52869
2021-04-22,371520,15767,0,331647,55640
2021-04-23,376595,15917,0,332637,59875
2021-04-24,388224,16344,0,334726,69842
2021-04-25,389083,16344,0,335062,70365
2021-04-26,400583,16849,0,340689,76743
2021-04-27,409925,17786,0,345928,81783
2021-04-28,414153,18556,0,348362,84347
2021-04-29,421069,19564,0,351614,89019
2021-04-30,426424,20780,0,354189,93015
2021-05-01,428928,21305,0,355222,95011
2021-05-02,428927,21305,0,355221,95011
2021-05-03,431942,21550,0,355652,97840
2021-05-04,434290,21645,0,355844,100091
2021-05-05,435089,21643,0,355842,100890
2021-05-06,444556,21685,0,356812,109429
2021-05-07,454404,21705,0,357741,118368
2021-05-08,458848,21705,0,358181,122372
2021-05-09,458853,21705,0,358182,122376
2021-05-10,465513,21790,0,359111,128192
2021-05-11,468632,21869,0,359562,130939
2021-05-12,469365,22035,0,359681,131719
2021-05-13,469502,22059,0,359686,131875
2021-05-14,470624,23860,0,361505,132979
2021-05-15,475432,28855,0,371134,133153
2021-05-16,475962,32475,0,375248,133189
2021-05-17,481305,33674,0,381759,133220
2021-05-18,482795,33958,0,383530,133223
2021-05-19,483099,34044,0,383909,133234
2021-05-20,483162,34124,0,384037,133249
2021-05-21,483485,34411,0,384647,133249
2021-05-22,483974,34753,0,385474,133253
2021-05-23,483974,34753,0,385474,133253
2021-05-24,484899,35293,0,386917,133275
2021-05-25,485786,35756,0,388267,133275
2021-05-26,486999,36028,0,389752,133275
2021-05-27,493503,36278,0,396491,133290
2021-05-28,501970,36474,0,405134,133310
2021-05-29,509020,36574,0,412194,133400
2021-05-30,509324,36569,0,412493,133400
2021-05-31,515594,38025,0,419087,134532
2021-06-01,522431,40111,0,426197,136345
2021-06-02,528273,41480,0,432445,137308
2021-06-03,534535,42925,0,439017,138443
2021-06-04,540128,43953,0,444919,139162
2021-06-05,548872,44645,0,453690,139827
2021-06-06,549953,44638,0,454740,139851
2021-06-07,558675,45586,0,463495,140766
2021-06-08,567819,46093,0,472633,141279
2021-06-09,573655,46842,0,478657,141840
2021-06-10,578396,47982,0,483674,142704
2021-06-11,582098,49615,0,488028,143685
2021-06-12,584048,50503,0,490191,144360
2021-06-13,584047,50466,0,490153,144360
2021-06-14,585185,53190,0,491794,146581
2021-06-15,589601,54199,0,496100,147700
2021-06-16,596845,54902,0,502213,149534
2021-06-17,605125,55375,0,508026,152474
2021-06-18,610987,55760,0,513432,153315
2021-06-19,614964,56047,0,516949,154062
2021-06-20,616109,56055,0,517218,154946
2021-06-21,631846,56240,0,524350,163736
2021-06-22,648303,58187,0,534034,172456
2021-06-23,661054,60554,0,542470,179138
2021-06-24,670888,61685,0,548724,183849
2021-06-25,679664,62635,0,553595,188704
2021-06-26,690738,63512,0,558374,195876
2021-06-27,692185,63512,0,559411,196286
2021-06-28,700890,64547,0,563712,201725
2021-06-29,713737,65829,0,569737,209829
2021-06-30,720679,67137,0,573321,214495
2021-07-01,725807,68036,0,576276,217567
2021-07-02,739691,69044,0,582446,226289
2021-07-03,749325,69862,0,587188,231999
2021-07-04,749843,69862,0,587554,232151
2021-07-05,756590,70725,0,590858,236457
2021-07-06,760789,71478,0,593008,239259
2021-07-07,762327,72215,0,594476,240066
2021-07-08,762855,72929,0,595371,240413
2021-07-09,770127,73460,0,597969,245618
2021-07-10,781666,73832,0,601511,253987
2021-07-11,782073,73832,0,601662,254243
2021-07-12,792524,74647,0,605181,261990
2021-07-13,796534,75383,0,606732,265185
2021-07-14,806320,76815,0,615370,267765
2021-07-15,815479,77836,0,618589,274726
2021-07-16,818917,78671,0,620156,277432
2021-07-17,830641,79354,0,623906,286089
2021-07-18,830645,79354,0,623906,286093
2021-07-19,840896,80153,0,628211,292838
2021-07-20,858516,80680,0,636004,303192
2021-07-21,869651,81295,0,642193,308753
2021-07-22,885427,81793,0,648624,318596
2021-07-23,898532,82475,0,655587,325420
2021-07-24,930570,85212,0,678810,336972
2021-07-25,932600,85256,0,680324,337532
2021-07-26,935482,88104,0,684624,338962
2021-07-27,937655,92566,0,689975,340246
2021-07-28,939909,93296,0,692409,340796
2021-07-29,970617,93402,0,714454,349565
2021-07-30,994940,93809,0,734463,354286
2021-07-31,999313,94486,0,738871,354928
2021-08-01,1007742,96457,0,748804,355395
2021-08-02,1030259,96903,0,767988,359174
2021-08-03,1039954,97933,0,776833,361054
2021-08-04,1041625,98730,0,778706,361649
2021-08-05,1052089,99973,0,789296,362766
2021-08-06,1055524,102364,0,794381,363507
2021-08-07,1069999,103604,0,807389,366214
2021-08-08,1070304,103861,0,807930,366235
2021-08-09,1073773,105872,0,812381,367264
2021-08-10,1075379,108558,0,816061,367876
2021-08-11,1089663,109696,0,828169,371190
2021-08-12,1115513,111256,0,850188,376581
2021-08-13,1125221,113134,0,859817,378538
2021-08-14,1147006,114477,0,879424,382059
2021-08-15,1165046,114652,0,896418,383280
2021-08-16,1180586,114857,0,910376,385067
2021-08-17,1189539,115065,0,918358,386246
