Date,Covishield,Covaxin,Sputnik,Corbevax,Covovax,Dose 1,Dose 2,Precaution Dose
2021-03-08,61141,7984,0,0,0,46773,22154,0
2021-03-09,65515,7984,0,0,0,49139,24403,0
2021-03-10,66589,7984,0,0,0,49505,25111,0
2021-03-11,68605,7984,0,0,0,50556,26076,0
2021-03-12,71734,7985,0,0,0,51977,27785,0
2021-03-13,74508,7985,0,0,0,53342,29194,0
2021-03-14,75161,7985,0,0,0,53590,29599,0
2021-03-15,77793,8124,0,0,0,55665,30295,0
2021-03-16,101245,8108,0,0,0,78535,30818,0
2021-03-17,164304,10447,0,0,0,141743,33008,0
2021-03-18,176973,10436,0,0,0,153925,33484,0
2021-03-19,187585,10426,0,0,0,164303,33708,0
2021-03-20,199966,10417,0,0,0,176445,33938,0
2021-03-21,200841,10417,0,0,0,177317,33941,0
2021-03-22,211430,10628,0,0,0,187697,34361,0
2021-03-23,220640,13786,0,0,0,196883,37543,0
2021-03-24,223199,13787,0,0,0,199211,37775,0
2021-03-25,239981,13877,0,0,0,215623,38235,0
2021-03-26,252372,13872,0,0,0,227778,38466,0
2021-03-27,264589,13915,0,0,0,239813,38691,0
2021-03-28,269445,13916,0,0,0,244638,38723,0
2021-03-29,282988,13915,0,0,0,257994,38909,0
2021-03-30,294096,14924,0,0,0,268962,40058,0
2021-03-31,299272,14923,0,0,0,273864,40331,0
2021-04-01,306022,14919,0,0,0,280515,40426,0
2021-04-02,313274,14916,0,0,0,287570,40620,0
2021-04-03,328119,14907,0,0,0,301948,41078,0
2021-04-04,339911,14908,0,0,0,313417,41402,0
2021-04-05,354877,14908,0,0,0,327900,41885,0
2021-04-07,374309,14905,0,0,0,346381,42833,0
2021-04-08,398272,15016,0,0,0,369435,43853,0
2021-04-09,423460,15190,0,0,0,393417,45233,0
2021-04-10,444925,15186,0,0,0,413695,46416,0
2021-04-11,458397,15185,0,0,0,426580,47002,0
2021-04-12,483278,15184,0,0,0,449710,48752,0
