Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
3/8/2021,35041,1764,0,28820,7983
3/9/2021,36500,1764,0,30025,8255
3/10/2021,39522,1764,0,32780,8522
3/11/2021,39609,1764,0,32852,8537
3/12/2021,43656,1764,0,35927,9509
3/13/2021,43774,2079,0,36028,9841
3/14/2021,43794,2079,0,36047,9842
3/15/2021,47717,2345,0,39451,10627
3/16/2021,58932,2514,0,50483,10963
3/17/2021,66964,2694,0,58421,11237
3/18/2021,70152,2789,0,61513,11428
3/19/2021,73298,2944,0,64566,11676
3/20/2021,75998,3101,0,67192,11907
3/21/2021,76065,3102,0,67255,11912
3/22/2021,83367,3300,0,74523,12144
3/23/2021,90924,3454,0,81646,12732
3/24/2021,93950,3453,0,84261,13142
3/25/2021,96872,3469,0,86838,13503
3/26/2021,98833,3544,0,88640,13737
3/27/2021,100676,3544,0,90341,13879
3/28/2021,100709,3544,0,90374,13879
3/29/2021,102983,3544,0,92398,14129
3/30/2021,105349,3661,0,94524,14486
3/31/2021,107357,3891,0,96332,14916
4/1/2021,107891,3891,0,96844,14938
4/2/2021,108491,3891,0,97424,14958
4/3/2021,109823,3891,0,98584,15130
4/4/2021,110262,3891,0,98974,15179
4/5/2021,112342,3891,0,100756,15477
4/6/2021,112953,3891,0,101311,15533
4/7/2021,115685,3901,0,103668,15918
4/8/2021,121086,3957,0,108519,16524
4/9/2021,126320,3972,0,113045,17247
4/10/2021,130371,3972,0,116616,17727
4/11/2021,130578,3972,0,116822,17728
4/12/2021,137508,4124,0,122806,18826
4/13/2021,141959,4195,0,126211,19943
4/14/2021,142009,4195,0,126250,19954
4/15/2021,149314,4359,0,131330,22343
4/16/2021,157894,4533,0,137017,25410
4/17/2021,167067,4715,0,143781,28001
4/18/2021,167496,5553,0,144979,28070
4/19/2021,175403,8181,0,152613,30971
4/20/2021,184277,10112,0,160714,33675
4/21/2021,192201,10673,0,166988,35886
4/22/2021,198083,11167,0,171575,37675
4/23/2021,200478,11465,0,173670,38273
4/24/2021,208821,11765,0,180019,40567
4/25/2021,208856,12034,0,180323,40567
4/26/2021,215084,12332,0,184679,42737
4/27/2021,215659,12332,0,184897,43094
4/28/2021,217165,12352,0,185179,44338
4/29/2021,217575,12352,0,185276,44651
4/30/2021,222525,12352,0,187166,47711
5/1/2021,227377,12352,0,189142,50587
5/2/2021,227378,12352,0,189143,50587
5/3/2021,232574,12352,0,191377,53549
