date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,7117,23462,35992,1,0,0,0,52777,6651,0,0,0,0,0,0,59455
2021-03-09,5996,26164,39285,2,51390,14061,0,58423,7001,0,0,0,0,0,0,65451
2021-03-10,1997,27042,40403,3,53025,14423,0,60420,7001,0,0,0,0,0,0,67448
2021-03-11,4856,29501,42951,3,57692,14763,0,65236,7192,0,0,0,0,0,0,72455
2021-03-12,7414,32986,46880,3,64447,15422,0,72176,7666,0,0,0,0,0,0,79869
2021-03-13,5806,35960,49813,3,69904,15872,0,77557,8192,0,0,0,0,0,0,85776
2021-03-14,1112,36510,50375,3,70955,15933,0,78626,8235,0,0,0,0,0,0,86888
2021-03-15,6404,39621,53667,4,76713,16579,0,84412,8853,0,0,0,0,0,0,93292
2021-03-16,5924,41028,54476,4,95508,17082,0,103095,9495,0,0,0,0,0,0,95508
2021-03-17,3422,56441,68819,8,125268,17493,0,131939,10822,0,0,0,0,0,0,125268
2021-03-18,11245,61789,74513,10,136312,17784,0,142955,11141,0,0,0,0,0,0,136312
2021-03-19,9616,66287,79495,11,145793,18104,0,152346,11551,0,0,0,0,0,0,145793
2021-03-20,9087,70408,84376,12,154796,18532,0,161224,12104,0,0,0,0,0,0,154796
2021-03-21,1109,70969,85055,12,156036,18638,0,162439,12235,0,0,0,0,0,0,156036
2021-03-22,9895,75214,90379,12,165605,19001,0,171916,12690,0,0,0,0,0,0,165605
2021-03-23,9318,79512,95745,13,175270,19271,0,181500,13041,0,0,0,0,0,0,175270
2021-03-24,3664,81120,97550,14,178684,19571,0,184983,13272,0,0,0,0,0,0,178684
2021-03-25,10849,85940,103446,16,189402,19877,0,195601,13678,0,0,0,0,0,0,189402
2021-03-26,8147,89396,107857,18,197271,20190,0,203427,14034,0,0,0,0,0,0,197271
2021-03-27,7663,92707,112138,18,204863,20379,0,211062,14180,0,0,0,0,0,0,204863
2021-03-28,455,92951,112379,18,205348,20386,0,211554,14180,0,0,0,0,0,0,205348
2021-03-29,11756,97881,118890,20,216791,20741,0,222991,14541,0,0,0,0,0,0,216791
2021-03-30,11401,102719,125378,20,228117,21183,0,234519,14781,0,0,0,0,0,0,228117
2021-03-31,3771,104240,127415,21,231676,21478,0,238179,14975,0,0,0,0,0,0,231676
2021-04-01,8561,107665,132302,22,239989,21818,0,246677,15130,0,0,0,0,0,0,239989
2021-04-02,6009,110452,135969,22,246443,22289,0,253291,15441,0,0,0,0,0,0,246443
2021-04-03,8261,113599,140910,22,254531,22839,0,261801,15569,0,0,0,0,0,0,254531
