date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,7372,37062,69015,0,0,0,0,101925,4150,0,0,0,0,0,0,106077
2021-03-09,6915,39417,73607,0,86721,26303,0,108843,4179,0,0,0,0,0,0,113024
2021-03-10,5238,41310,76965,0,89074,29201,0,114049,4224,0,0,0,0,0,0,118275
2021-03-11,4338,42757,79975,0,91248,31484,0,118501,4229,0,0,0,0,0,0,122732
2021-03-12,9156,45920,85970,1,95614,36277,0,127632,4257,0,0,0,0,0,0,131891
2021-03-13,5482,47779,89593,1,98355,39018,0,132974,4396,0,0,0,0,0,0,137373
2021-03-14,380,47938,89814,1,98672,39081,0,133354,4396,0,0,0,0,0,0,137753
2021-03-15,8167,51164,94755,1,103637,42283,0,141400,4517,0,0,0,0,0,0,145920
2021-03-16,7905,47973,81305,1,129279,45134,0,169650,4763,0,0,0,0,0,0,129279
2021-03-17,8657,87443,121102,8,208553,47320,0,249952,5921,0,0,0,0,0,0,208553
2021-03-18,17150,93912,128415,9,222336,50778,0,266897,6217,0,0,0,0,0,0,222336
2021-03-19,13549,99369,134604,13,233986,53189,0,280666,6509,0,0,0,0,0,0,233986
2021-03-20,11917,104209,140569,13,244791,55079,0,293249,6621,0,0,0,0,0,0,244791
2021-03-21,449,104492,140958,13,245463,55152,0,294003,6612,0,0,0,0,0,0,245463
2021-03-22,14545,110312,147258,14,257584,57608,0,306956,8236,0,0,0,0,0,0,257584
2021-03-23,15320,117304,155069,16,272389,59687,0,322016,10060,0,0,0,0,0,0,272389
2021-03-24,7721,120688,158911,17,279616,60167,0,329444,10339,0,0,0,0,0,0,279616
2021-03-25,18144,129028,168445,18,297491,61182,0,347043,11630,0,0,0,0,0,0,297491
2021-03-26,16203,136051,176857,19,312927,61944,0,362359,12512,0,0,0,0,0,0,312927
2021-03-27,10782,140706,182706,20,323432,62253,0,372800,12885,0,0,0,0,0,0,323432
2021-03-28,1255,141285,183437,20,324742,62278,0,374130,12890,0,0,0,0,0,0,324742
2021-03-29,17024,148800,192335,22,341157,63004,0,390444,13717,0,0,0,0,0,0,341157
2021-03-30,17782,156436,201676,27,358139,63941,0,407515,14565,0,0,0,0,0,0,358139
2021-03-31,5478,158771,204492,27,363290,64374,0,412727,14937,0,0,0,0,0,0,363290
2021-04-01,6326,161693,207633,29,369355,64702,0,419120,14937,0,0,0,0,0,0,369355
2021-04-02,4006,163851,210213,29,374093,64909,0,424067,14935,0,0,0,0,0,0,374093
2021-04-03,10179,168329,215810,30,384169,65581,0,434817,14933,0,0,0,0,0,0,384169
2021-04-04,470,169806,217747,30,387583,65840,0,438491,14932,0,0,0,0,0,0,387583
2021-04-05,13240,175281,224877,30,400188,66567,0,451824,14931,0,0,0,0,0,0,400188
2021-04-06,1375,177044,226942,31,404017,66897,0,455984,14930,0,0,0,0,0,0,404017
2021-04-07,9162,182001,233070,31,415102,67818,0,467990,14930,0,0,0,0,0,0,415102
2021-04-08,26473,193611,248066,33,441710,69533,0,496314,14929,0,0,0,0,0,0,441710
2021-04-09,29378,206132,263885,35,470052,71421,0,526549,14924,0,0,0,0,0,0,470052
2021-04-10,22611,215446,275557,36,491039,73443,0,549025,15457,0,0,0,0,0,0,491039
2021-04-11,5447,217897,278471,37,496405,74149,0,554763,15791,0,0,0,0,0,0,496405
2021-04-12,36231,232601,296972,48,529621,77430,0,591257,15794,0,0,0,0,0,0,529621
2021-04-13,28057,243886,310290,52,554228,81169,0,618818,16579,0,0,0,0,0,0,554228
2021-04-14,2342,244810,311276,52,556138,81835,0,621395,16578,0,0,0,0,0,0,556138
2021-04-15,31363,257319,326406,57,583782,85984,0,646851,22915,0,0,0,0,0,0,583782
2021-04-16,19013,264943,334973,58,599974,89077,0,655570,33481,0,0,0,0,0,0,599974
2021-04-17,13686,271116,342115,59,613290,90090,0,657441,45939,0,0,0,0,0,0,613290
2021-04-18,3435,272764,343800,60,616624,90200,0,657519,49305,0,0,0,0,0,0,616624
2021-04-19,6807,275383,346520,62,621965,91967,0,661292,52640,0,0,0,0,0,0,621965
2021-04-20,24329,281875,353502,63,635440,103946,0,684767,54619,0,0,0,0,0,0,635440
2021-04-21,11004,284906,356464,64,641434,109499,0,695194,55739,0,0,0,0,0,0,641434
2021-04-22,23824,291343,363551,65,654959,120555,0,718269,57245,0,0,0,0,0,0,654959
2021-04-23,17134,296273,368564,66,664903,128262,0,735322,57843,0,0,0,0,0,0,664903
2021-04-24,20094,301658,374261,66,675985,137684,0,755767,57902,0,0,0,0,0,0,675985
2021-04-25,441,301772,374395,66,676233,137859,0,756199,57893,0,0,0,0,0,0,676233
2021-04-26,10557,304527,377360,66,681953,142702,0,766768,57887,0,0,0,0,0,0,681953
2021-04-27,10102,306704,379661,67,686432,148330,0,776879,57883,0,0,0,0,0,0,686432
2021-04-28,646,306708,379748,67,686523,148813,0,777479,57857,0,0,0,0,0,0,686523
2021-04-29,1967,307088,380107,67,687262,149615,0,779035,57842,0,0,0,0,0,0,687262
2021-04-30,14809,310204,383253,68,693525,158397,0,792182,59740,0,0,0,0,0,0,693525
2021-05-01,2881,310607,383737,68,694412,160536,0,794477,60471,0,0,0,0,0,0,694412
2021-05-02,0,310603,383737,68,694408,160541,0,794478,60471,0,0,0,0,0,0,694408
2021-05-03,9341,312084,385362,69,697515,167030,0,803021,61524,0,0,0,0,0,0,697515
2021-05-04,5021,312866,386256,72,699194,170400,0,807568,62026,0,0,0,0,0,0,699194
2021-05-05,641,312839,386235,72,699146,171017,0,808036,62127,0,0,0,0,0,0,699146
2021-05-06,0,312524,385937,72,698533,171021,0,807435,62119,0,0,0,0,0,0,698533
