date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,1666,10828,13997,0,0,0,0,22283,2542,0,0,0,0,0,0,24825
2021-03-09,1531,11500,14856,0,19592,6764,0,23814,2542,0,0,0,0,0,0,26356
2021-03-10,581,11762,15175,0,20018,6919,0,24395,2542,0,0,0,0,0,0,26937
2021-03-11,256,11851,15342,0,20245,6948,0,24651,2542,0,0,0,0,0,0,27193
2021-03-12,1495,12524,16164,0,21586,7102,0,26146,2542,0,0,0,0,0,0,28688
2021-03-13,1309,13148,16870,0,22863,7155,0,27476,2542,0,0,0,0,0,0,30018
2021-03-14,0,13148,16870,0,22863,7155,0,27476,2542,0,0,0,0,0,0,30018
2021-03-15,1268,13626,17660,0,23888,7398,0,28744,2542,0,0,0,0,0,0,31286
2021-03-16,1719,14214,17677,0,31891,7477,0,36835,2533,0,0,0,0,0,0,31891
2021-03-17,1961,20424,23451,1,43876,7500,0,48846,2530,0,0,0,0,0,0,43876
2021-03-18,2255,21325,24286,2,45613,8031,0,50603,3041,0,0,0,0,0,0,45613
2021-03-19,2722,22136,25204,2,47342,9044,0,52343,4043,0,0,0,0,0,0,47342
2021-03-20,2536,22982,26316,3,49301,9749,0,54267,4783,0,0,0,0,0,0,49301
2021-03-21,546,23274,26623,4,49901,9753,0,54867,4787,0,0,0,0,0,0,49901
2021-03-22,4156,25266,28746,7,54019,9807,0,59023,4803,0,0,0,0,0,0,54019
2021-03-23,4344,27470,31228,7,58705,10197,0,64086,4816,0,0,0,0,0,0,58705
2021-03-24,3664,29222,33092,7,62321,10259,0,67765,4815,0,0,0,0,0,0,62321
2021-03-25,5996,31926,36251,7,68184,10568,0,73942,4810,0,0,0,0,0,0,68184
2021-03-26,1526,32518,36976,7,69501,10772,0,75466,4807,0,0,0,0,0,0,69501
2021-03-27,5554,35053,39842,9,74904,10956,0,81027,4833,0,0,0,0,0,0,74904
2021-03-28,1689,35880,40705,9,76594,10957,0,82718,4833,0,0,0,0,0,0,76594
2021-03-29,6061,38608,43848,10,82466,11345,0,88978,4833,0,0,0,0,0,0,82466
2021-03-30,6921,41652,47360,11,89023,11726,0,95912,4837,0,0,0,0,0,0,89023
2021-03-31,3629,43302,49142,12,92456,11932,0,99525,4863,0,0,0,0,0,0,92456
2021-04-01,813,43624,49529,12,93165,12041,0,100343,4863,0,0,0,0,0,0,93165
2021-04-02,1070,44221,50271,12,94504,12172,0,101813,4863,0,0,0,0,0,0,94504
2021-04-03,3049,45483,52028,12,97523,12510,0,105170,4863,0,0,0,0,0,0,97523
2021-04-04,542,46331,53261,12,99604,12678,0,107414,4868,0,0,0,0,0,0,99604
2021-04-05,3833,47908,55349,12,103269,13040,0,111436,4873,0,0,0,0,0,0,103269
2021-04-06,141,48419,56033,12,104464,13232,0,112820,4876,0,0,0,0,0,0,104464
2021-04-07,1278,48998,56798,13,105809,13421,0,114354,4876,0,0,0,0,0,0,105809
2021-04-08,7226,51940,60705,14,112659,14160,0,121943,4876,0,0,0,0,0,0,112659
2021-04-09,7256,54857,64342,16,119215,14976,0,129306,4885,0,0,0,0,0,0,119215
2021-04-10,4708,56805,66754,16,123575,15368,0,134042,4901,0,0,0,0,0,0,123575
2021-04-11,703,57146,67168,16,124330,15385,0,134814,4901,0,0,0,0,0,0,124330
2021-04-12,8495,60560,71385,18,131963,16327,0,143386,4904,0,0,0,0,0,0,131963
2021-04-13,7099,63297,74757,18,138072,17380,0,150548,4904,0,0,0,0,0,0,138072
2021-04-14,155,63444,74973,18,138435,17483,0,151014,4904,0,0,0,0,0,0,138435
2021-04-15,6138,65719,77609,18,143346,18708,0,156684,5370,0,0,0,0,0,0,143346
2021-04-16,5520,67741,80114,19,147874,19896,0,161865,5905,0,0,0,0,0,0,147874
2021-04-17,3337,68912,81593,19,150524,20704,0,164800,6428,0,0,0,0,0,0,150524
2021-04-18,90,68955,81634,19,150608,20708,0,164798,6518,0,0,0,0,0,0,150608
2021-04-19,4396,70490,83410,19,153919,21892,0,167758,8053,0,0,0,0,0,0,153919
2021-04-20,6558,72665,85848,19,158532,24042,0,172832,9742,0,0,0,0,0,0,158532
2021-04-21,2678,73559,86927,19,160505,24920,0,174844,10581,0,0,0,0,0,0,160505
2021-04-22,10699,77161,91156,19,168336,28304,0,185075,11565,0,0,0,0,0,0,168336
2021-04-23,7492,79915,94263,21,174199,30067,0,192295,11971,0,0,0,0,0,0,174199
2021-04-24,6442,82495,96932,21,179448,31340,0,198817,11971,0,0,0,0,0,0,179448
2021-04-25,244,82696,97179,21,179896,31450,0,199375,11971,0,0,0,0,0,0,179896
2021-04-26,7617,85711,100399,22,186132,33105,0,207266,11971,0,0,0,0,0,0,186132
2021-04-27,3412,87146,101761,22,188929,34009,0,210967,11971,0,0,0,0,0,0,188929
2021-04-28,600,87379,101980,22,189381,34224,0,211468,12137,0,0,0,0,0,0,189381
2021-04-29,1813,88145,102780,22,190947,34602,0,213072,12477,0,0,0,0,0,0,190947
2021-04-30,7206,89905,104514,23,194442,38709,0,220674,12477,0,0,0,0,0,0,194442
2021-05-01,1839,90705,105278,23,196006,39528,0,222505,13029,0,0,0,0,0,0,196006
2021-05-02,0,90713,105291,23,196027,39842,0,222839,13030,0,0,0,0,0,0,196027
2021-05-03,5498,91997,106787,24,198808,42762,0,228540,13030,0,0,0,0,0,0,198808
2021-05-04,2595,93002,107845,26,200873,43366,0,229612,14627,0,0,0,0,0,0,200873
2021-05-05,615,93251,108131,26,201408,43488,0,229818,15078,0,0,0,0,0,0,201408
2021-05-06,1616,93934,108810,26,202770,43670,0,229965,16475,0,0,0,0,0,0,202770
2021-05-07,10315,96103,111114,27,207244,50119,0,240885,16478,0,0,0,0,0,0,207244
2021-05-08,1428,96420,111458,27,207905,51241,0,242668,16478,0,0,0,0,0,0,207905
2021-05-09,50,96431,111463,27,207921,51284,0,242727,16478,0,0,0,0,0,0,207921
2021-05-10,7122,98119,113170,28,211317,55583,0,249838,17062,0,0,0,0,0,0,211317
2021-05-11,5280,100021,114862,28,214911,57427,0,253382,18956,0,0,0,0,0,0,214911
2021-05-12,918,100489,115185,28,215702,57571,0,254031,19242,0,0,0,0,0,0,215702
2021-05-13,365,100661,115337,28,216026,57622,0,254144,19504,0,0,0,0,0,0,216026
2021-05-14,4368,101798,116360,28,218186,60057,0,257670,20573,0,0,0,0,0,0,218186
2021-05-15,8536,106087,120532,28,226647,60143,0,265758,21032,0,0,0,0,0,0,226647
2021-05-16,1238,106744,121114,28,227886,60143,0,266881,21148,0,0,0,0,0,0,227886
2021-05-17,817,107179,121470,44,228693,60156,0,267545,21304,0,0,0,0,0,0,228693
2021-05-18,582,107531,121677,44,229252,60171,0,268093,21330,0,0,0,0,0,0,229252
2021-05-19,211,107641,121774,44,229459,60171,0,268304,21326,0,0,0,0,0,0,229459
2021-05-20,130,107718,121826,44,229588,60171,0,268434,21325,0,0,0,0,0,0,229588
2021-05-21,314,107901,121955,44,229900,60171,0,268748,21323,0,0,0,0,0,0,229900
2021-05-22,942,108442,122352,45,230839,60170,0,269686,21323,0,0,0,0,0,0,230839
2021-05-23,0,108442,122351,45,230838,60169,0,269684,21323,0,0,0,0,0,0,230838
2021-05-24,2634,109882,123544,45,233471,60169,0,272317,21323,0,0,0,0,0,0,233471
2021-05-25,2399,111173,124603,47,235823,60227,0,274662,21388,0,0,0,0,0,0,235823
2021-05-26,336,111381,124731,47,236159,60227,0,274870,21516,0,0,0,0,0,0,236159
2021-05-27,2372,112889,125588,48,238525,60228,0,277142,21611,0,0,0,0,0,0,238525
2021-05-28,9598,117648,130477,48,248173,60242,0,286804,21611,0,0,0,0,0,0,248173
2021-05-29,7023,121007,134081,50,255138,60255,0,293832,21561,0,0,0,0,0,0,255138
2021-05-30,0,121006,134081,50,255137,60255,0,293832,21560,0,0,0,0,0,0,255137
2021-05-31,5538,124648,135968,53,260669,60267,0,299301,21635,0,0,0,0,0,0,260669
2021-06-01,4939,126747,137490,53,264290,61618,0,302899,23009,0,0,0,0,0,0,264290
2021-06-02,1794,127216,137999,53,265268,62707,0,303765,24210,0,0,0,0,0,0,265268
2021-06-03,9437,131259,141997,58,273314,64209,0,311753,25770,0,0,0,0,0,0,273314
2021-06-04,5565,133732,144101,64,277897,65434,0,316330,27001,0,0,0,0,0,0,277897
2021-06-05,3661,135287,145394,64,280745,66248,0,319196,27797,0,0,0,0,0,0,280745
2021-06-06,698,135634,145722,64,281420,66268,0,319872,27816,0,0,0,0,0,0,281420
2021-06-07,10330,140690,150474,65,291229,66868,0,328925,29172,0,0,0,0,0,0,291229
2021-06-08,10043,145334,155202,67,300603,67480,0,338245,29838,0,0,0,0,0,0,300603
2021-06-09,3433,146986,156761,69,303816,67668,0,340588,30896,0,0,0,0,0,0,303816
2021-06-10,8253,150724,160114,71,310909,68902,0,346462,33349,0,0,0,0,0,0,310909
