date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,5717,29487,40505,6,0,0,0,63522,6450,0,0,0,0,0,0,69998
2021-03-09,3700,30976,42716,6,54996,18702,0,67222,6450,0,0,0,0,0,0,73698
2021-03-10,265,31078,42885,6,55075,18894,0,67493,6450,0,0,0,0,0,0,73969
2021-03-11,473,31267,43169,6,55280,19162,0,67966,6450,0,0,0,0,0,0,74442
2021-03-12,9311,35240,48506,7,62441,21312,0,77277,6450,0,0,0,0,0,0,83753
2021-03-13,2648,36238,50155,8,64469,21932,0,79925,6450,0,0,0,0,0,0,86401
2021-03-14,142,36304,50231,8,64601,21942,0,80067,6450,0,0,0,0,0,0,86543
2021-03-15,8809,40611,54732,9,71396,23956,0,87921,7405,0,0,0,0,0,0,95352
2021-03-16,7811,41215,52236,7,93458,26306,0,110756,9008,0,0,0,0,0,0,93458
2021-03-17,4046,58604,67128,11,125743,27011,0,143748,9006,0,0,0,0,0,0,125743
2021-03-18,12691,64447,73436,16,137899,27615,0,156536,8978,0,0,0,0,0,0,137899
2021-03-19,11903,69677,79248,16,148941,28842,0,167905,9878,0,0,0,0,0,0,148941
2021-03-20,8532,73707,83935,16,157658,29349,0,176814,10193,0,0,0,0,0,0,157658
2021-03-21,789,74141,84448,16,158605,29361,0,177775,10191,0,0,0,0,0,0,158605
2021-03-22,10877,79124,89936,16,169076,29799,0,188363,10512,0,0,0,0,0,0,169076
2021-03-23,9305,83851,95279,16,179146,30078,0,198531,10693,0,0,0,0,0,0,179146
2021-03-24,3278,84895,96328,17,181240,31335,0,200602,11973,0,0,0,0,0,0,181240
2021-03-25,12488,90881,102798,19,193698,31513,0,213250,11961,0,0,0,0,0,0,193698
2021-03-26,10669,95637,108584,22,204243,31685,0,223968,11960,0,0,0,0,0,0,204243
2021-03-27,7095,98738,112335,23,211096,31980,0,230962,12114,0,0,0,0,0,0,211096
2021-03-28,159,98820,112422,23,211265,31989,0,231140,12114,0,0,0,0,0,0,211265
2021-03-29,11275,103630,118715,27,222372,32198,0,242460,12110,0,0,0,0,0,0,222372
2021-03-30,10490,108183,124446,28,232657,32584,0,253132,12109,0,0,0,0,0,0,232657
2021-03-31,2425,109178,125619,29,234826,32909,0,255485,12250,0,0,0,0,0,0,234826
2021-04-01,2431,110254,126959,29,237242,32986,0,257981,12247,0,0,0,0,0,0,237242
2021-04-02,1946,111261,128196,31,239488,33131,0,260373,12246,0,0,0,0,0,0,239488
2021-04-03,10053,114871,133801,34,248706,34228,0,270316,12618,0,0,0,0,0,0,248706
2021-04-04,772,116396,136300,34,252730,34438,0,274492,12676,0,0,0,0,0,0,252730
2021-04-05,7774,119293,140937,35,260265,34790,0,282379,12676,0,0,0,0,0,0,260265
2021-04-06,472,120356,142509,36,262901,34919,0,285144,12676,0,0,0,0,0,0,262901
2021-04-07,6621,123244,146913,37,270194,35236,0,292754,12676,0,0,0,0,0,0,270194
2021-04-08,15971,130246,156980,44,287270,35998,0,310593,12675,0,0,0,0,0,0,287270
2021-04-09,16882,136691,166592,44,303327,36887,0,327543,12671,0,0,0,0,0,0,303327
2021-04-10,13229,141649,174239,45,315933,37646,0,340913,12666,0,0,0,0,0,0,315933
2021-04-11,4419,143565,176737,45,320347,37976,0,345657,12666,0,0,0,0,0,0,320347
2021-04-12,14284,148870,183898,50,332818,39905,0,360059,12664,0,0,0,0,0,0,332818
2021-04-13,5778,151142,186278,52,337472,41116,0,365852,12736,0,0,0,0,0,0,337472
2021-04-14,109,151200,186330,52,337582,41140,0,365986,12736,0,0,0,0,0,0,337582
2021-04-15,22057,158720,196373,55,355148,45926,0,388338,12736,0,0,0,0,0,0,355148
2021-04-16,16746,164498,203559,56,368113,50254,0,403456,14911,0,0,0,0,0,0,368113
2021-04-17,10852,169437,209676,58,379171,51711,0,408926,21956,0,0,0,0,0,0,379171
2021-04-18,1265,170014,210196,58,380268,51873,0,409108,23033,0,0,0,0,0,0,380268
2021-04-19,3482,171491,211754,58,383303,52208,0,409636,25875,0,0,0,0,0,0,383303
2021-04-20,30084,180866,222697,60,403623,62720,0,440264,26079,0,0,0,0,0,0,403623
2021-04-21,1882,181859,223769,60,405688,63732,0,443341,26079,0,0,0,0,0,0,405688
2021-04-22,10911,185093,227615,61,412769,67736,0,454280,26225,0,0,0,0,0,0,412769
2021-04-23,336,185232,227770,61,413063,67926,0,454696,26293,0,0,0,0,0,0,413063
2021-04-24,23493,192493,235685,62,428240,76466,0,478413,26293,0,0,0,0,0,0,428240
2021-04-25,8618,195306,238685,63,434054,79450,0,487211,26293,0,0,0,0,0,0,434054
2021-04-26,2125,195999,239357,63,435419,80572,0,489698,26293,0,0,0,0,0,0,435419
2021-04-27,6771,197855,241332,65,439252,83509,0,496468,26293,0,0,0,0,0,0,439252
2021-04-28,216,197865,241354,65,439284,83646,0,496637,26293,0,0,0,0,0,0,439284
2021-04-29,130,197820,241349,65,439234,83727,0,496670,26291,0,0,0,0,0,0,439234
2021-04-30,14764,199519,243167,65,442751,95502,0,511754,26499,0,0,0,0,0,0,442751
2021-05-01,7172,200490,244131,65,444686,101015,0,519116,26585,0,0,0,0,0,0,444686
2021-05-02,0,200488,244131,65,444684,101020,0,519119,26585,0,0,0,0,0,0,444684
2021-05-03,0,200416,244058,65,444539,101022,0,518976,26585,0,0,0,0,0,0,444539
2021-05-04,5842,201187,244905,65,446157,105460,0,525032,26585,0,0,0,0,0,0,446157
2021-05-05,20,201173,244898,65,446136,105476,0,525027,26585,0,0,0,0,0,0,446136
2021-05-06,65,201142,244855,65,446062,105510,0,524987,26585,0,0,0,0,0,0,446062
2021-05-07,21484,201789,245649,65,447503,126465,0,547387,26581,0,0,0,0,0,0,447503
2021-05-08,12826,202246,246136,65,448447,139044,0,560911,26580,0,0,0,0,0,0,448447
2021-05-09,0,202242,246131,65,448438,139044,0,560902,26580,0,0,0,0,0,0,448438
2021-05-10,1,202190,246068,65,448323,139045,0,560788,26580,0,0,0,0,0,0,448323
2021-05-11,5525,202436,246427,65,448928,144328,0,566677,26579,0,0,0,0,0,0,448928
2021-05-12,106,202436,246460,65,448961,144426,0,566722,26665,0,0,0,0,0,0,448961
2021-05-13,0,202421,246446,65,448932,144426,0,566694,26664,0,0,0,0,0,0,448932
2021-05-14,191,202393,246426,65,448884,144615,0,566835,26664,0,0,0,0,0,0,448884
2021-05-15,19,202369,246423,65,448857,144615,0,566809,26663,0,0,0,0,0,0,448857
2021-05-16,0,202368,246422,65,448855,144615,0,566809,26661,0,0,0,0,0,0,448855
2021-05-17,16685,207635,252198,65,459898,150563,0,566808,43653,0,0,0,0,0,0,459898
2021-05-18,15411,215242,259959,69,475270,150636,0,581820,44086,0,0,0,0,0,0,475270
2021-05-19,358,215455,260161,69,475685,150647,0,582190,44142,0,0,0,0,0,0,475685
2021-05-20,65,215497,260183,69,475749,150647,0,582255,44141,0,0,0,0,0,0,475749
2021-05-21,135,215584,260228,69,475881,150647,0,582390,44138,0,0,0,0,0,0,475881
2021-05-22,809,216120,260500,69,476689,150647,0,583199,44137,0,0,0,0,0,0,476689
2021-05-23,0,216121,260500,69,476690,150647,0,583200,44137,0,0,0,0,0,0,476690
2021-05-24,8176,220640,264154,69,484863,150655,0,591382,44136,0,0,0,0,0,0,484863
2021-05-25,3146,222382,265569,71,488022,150661,0,594547,44136,0,0,0,0,0,0,488022
