date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,4037,18260,17918,3,0,0,0,32986,3187,0,0,0,0,0,0,36181
2021-03-09,4293,20479,19992,3,35242,5232,0,37279,3187,0,0,0,0,0,0,40474
2021-03-10,466,20695,20242,3,35662,5278,0,37745,3187,0,0,0,0,0,0,40940
2021-03-11,708,21033,20612,3,36328,5320,0,38453,3187,0,0,0,0,0,0,41648
2021-03-12,4177,23114,22707,4,40277,5548,0,42630,3187,0,0,0,0,0,0,45825
2021-03-13,2785,24493,24113,4,42968,5642,0,45415,3187,0,0,0,0,0,0,48610
2021-03-14,27,24507,24126,4,42995,5642,0,45442,3187,0,0,0,0,0,0,48637
2021-03-15,5545,27361,26817,4,47885,6297,0,50364,3810,0,0,0,0,0,0,54182
2021-03-16,5058,28850,28728,3,57581,6332,0,60090,3823,0,0,0,0,0,0,57581
2021-03-17,211,31044,30157,5,61206,6346,0,63731,3821,0,0,0,0,0,0,61206
2021-03-18,6313,33596,32815,6,66417,7625,0,68906,5136,0,0,0,0,0,0,66417
2021-03-19,4453,35750,35096,6,70852,7678,0,73395,5135,0,0,0,0,0,0,70852
2021-03-20,4678,37893,37707,6,75606,7710,0,78182,5134,0,0,0,0,0,0,75606
2021-03-21,48,37923,37749,6,75678,7710,0,78254,5134,0,0,0,0,0,0,75678
2021-03-22,5195,40205,40295,6,80506,8112,0,83096,5522,0,0,0,0,0,0,80506
2021-03-23,4588,42458,43052,7,85517,8188,0,88185,5520,0,0,0,0,0,0,85517
2021-03-24,2323,43502,44269,8,87779,8264,0,90467,5576,0,0,0,0,0,0,87779
2021-03-25,5698,45929,47196,8,93133,8652,0,95839,5946,0,0,0,0,0,0,93133
2021-03-26,4506,47852,49739,8,97599,8727,0,100368,5958,0,0,0,0,0,0,97599
2021-03-27,4862,50121,52291,8,102420,8797,0,105262,5955,0,0,0,0,0,0,102420
2021-03-28,0,50121,52292,8,102421,8798,0,105264,5955,0,0,0,0,0,0,102421
2021-03-29,6496,52574,56096,8,108678,9083,0,111691,6070,0,0,0,0,0,0,108678
2021-03-30,6563,55172,60032,8,115212,9305,0,118419,6098,0,0,0,0,0,0,115212
2021-03-31,3085,56298,61763,9,118070,9380,0,121353,6097,0,0,0,0,0,0,118070
2021-04-01,4272,57968,64188,9,122165,9590,0,125572,6183,0,0,0,0,0,0,122165
2021-04-02,316,58185,64532,9,122726,9627,0,126170,6183,0,0,0,0,0,0,122726
2021-04-03,5013,59927,67591,9,127527,9860,0,131211,6176,0,0,0,0,0,0,127527
2021-04-04,486,60817,68858,9,129684,9975,0,133484,6175,0,0,0,0,0,0,129684
2021-04-05,3547,62222,70838,9,133069,10205,0,137083,6191,0,0,0,0,0,0,133069
2021-04-06,7,62466,71171,9,133646,10254,0,137707,6193,0,0,0,0,0,0,133646
2021-04-07,3444,63743,73161,11,136915,10497,0,141180,6232,0,0,0,0,0,0,136915
2021-04-08,6131,66073,76679,11,142763,10978,0,147487,6254,0,0,0,0,0,0,142763
2021-04-09,5890,68295,79826,12,148133,11528,0,153402,6259,0,0,0,0,0,0,148133
2021-04-10,4649,70081,82186,12,152279,12059,0,158081,6257,0,0,0,0,0,0,152279
2021-04-11,1031,70550,82656,12,153218,12147,0,159108,6257,0,0,0,0,0,0,153218
2021-04-12,6244,72858,85505,12,158375,13331,0,165405,6301,0,0,0,0,0,0,158375
2021-04-13,2529,73908,86413,12,160333,13958,0,167984,6307,0,0,0,0,0,0,160333
2021-04-14,16,73913,86412,12,160337,13965,0,167995,6307,0,0,0,0,0,0,160337
2021-04-15,8656,76944,90141,12,167097,16022,0,176812,6307,0,0,0,0,0,0,167097
2021-04-16,10699,80495,94417,12,174924,19210,0,187829,6305,0,0,0,0,0,0,174924
2021-04-17,13726,85532,99343,12,184887,23365,0,201945,6307,0,0,0,0,0,0,184887
2021-04-18,1709,86542,100043,12,186597,23509,0,203799,6307,0,0,0,0,0,0,186597
2021-04-19,16626,93752,106148,14,199914,27194,0,220625,6483,0,0,0,0,0,0,199914
2021-04-20,15756,100490,111958,14,212462,30796,0,235605,7653,0,0,0,0,0,0,212462
2021-04-21,7059,103592,114747,15,218354,32291,0,241814,8831,0,0,0,0,0,0,218354
2021-04-22,10483,107588,118968,15,226571,34806,0,251303,10074,0,0,0,0,0,0,226571
2021-04-23,8384,110622,122086,19,232727,37791,0,259417,11101,0,0,0,0,0,0,232727
