date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,5214,20059,35776,4,0,0,0,51781,4051,0,0,0,0,0,0,55839
2021-03-09,5106,22021,38920,4,42852,18093,0,56887,4051,0,0,0,0,0,0,60945
2021-03-10,1972,22664,40249,4,44128,18789,0,58859,4051,0,0,0,0,0,0,62917
2021-03-11,769,22971,40711,4,44676,19010,0,59628,4051,0,0,0,0,0,0,63686
2021-03-12,5425,25083,44024,4,48522,20589,0,65053,4051,0,0,0,0,0,0,69111
2021-03-13,1575,25726,44956,4,49588,21098,0,66628,4051,0,0,0,0,0,0,70686
2021-03-14,37,25737,44982,4,49608,21115,0,66665,4051,0,0,0,0,0,0,70723
2021-03-15,3935,27437,47216,5,52927,21731,0,70600,4051,0,0,0,0,0,0,74658
2021-03-16,4577,27021,43879,3,70903,23911,0,88614,6200,0,0,0,0,0,0,70903
2021-03-17,3508,48750,66798,6,115554,24187,0,133544,6197,0,0,0,0,0,0,115554
2021-03-18,12472,54346,73353,7,127706,24594,0,146111,6189,0,0,0,0,0,0,127706
2021-03-19,8912,57888,77647,7,135542,25815,0,154095,7262,0,0,0,0,0,0,135542
2021-03-20,7445,61098,81578,8,142684,26336,0,161339,7681,0,0,0,0,0,0,142684
2021-03-21,0,61121,81611,8,142740,26342,0,161396,7686,0,0,0,0,0,0,142740
2021-03-22,10101,65513,87011,9,152533,26699,0,171541,7691,0,0,0,0,0,0,152533
2021-03-23,8748,69339,91726,12,161077,27408,0,180792,7693,0,0,0,0,0,0,161077
2021-03-24,2349,70322,92908,12,163242,27569,0,183119,7692,0,0,0,0,0,0,163242
2021-03-25,13292,76232,99842,13,176087,28337,0,196507,7917,0,0,0,0,0,0,176087
2021-03-26,9958,80516,105061,15,185592,28842,0,206518,7916,0,0,0,0,0,0,185592
2021-03-27,6336,83245,108439,16,191700,29098,0,212882,7916,0,0,0,0,0,0,191700
2021-03-28,40,83274,108470,16,191760,29112,0,212956,7916,0,0,0,0,0,0,191760
2021-03-29,12650,88720,115255,17,203992,29553,0,225631,7914,0,0,0,0,0,0,203992
2021-03-30,12808,94326,122105,19,216450,30002,0,238539,7913,0,0,0,0,0,0,216450
2021-03-31,2753,95486,123448,20,218954,30318,0,241257,8015,0,0,0,0,0,0,218954
2021-04-01,4180,97275,125687,20,222982,30514,0,245481,8015,0,0,0,0,0,0,222982
2021-04-02,1450,98127,126707,20,224854,30609,0,247449,8014,0,0,0,0,0,0,224854
2021-04-03,5928,100575,129841,20,230436,31047,0,253469,8014,0,0,0,0,0,0,230436
2021-04-04,53,101246,130707,20,231973,31194,0,255153,8014,0,0,0,0,0,0,231973
2021-04-05,8240,104389,135258,22,239669,31828,0,263483,8014,0,0,0,0,0,0,239669
2021-04-06,438,105143,136242,22,241407,31996,0,265389,8014,0,0,0,0,0,0,241407
2021-04-07,7800,108603,140961,24,249588,32533,0,274108,8013,0,0,0,0,0,0,249588
2021-04-08,14183,114712,149428,27,264167,33928,0,290087,8008,0,0,0,0,0,0,264167
2021-04-09,13556,119994,156396,30,276420,35817,0,304149,8088,0,0,0,0,0,0,276420
2021-04-10,12776,124882,163075,31,287988,37156,0,317059,8085,0,0,0,0,0,0,287988
2021-04-11,1594,125719,163970,31,289720,37247,0,318883,8084,0,0,0,0,0,0,289720
2021-04-12,17160,132078,172510,34,304622,39655,0,336194,8083,0,0,0,0,0,0,304622
2021-04-13,14072,137234,179192,36,316462,42132,0,350473,8121,0,0,0,0,0,0,316462
2021-04-14,754,137466,179483,36,316985,42369,0,351233,8121,0,0,0,0,0,0,316985
2021-04-15,16369,143389,187145,38,330572,45545,0,367886,8231,0,0,0,0,0,0,330572
2021-04-16,18190,150000,195522,41,345563,49229,0,383017,11775,0,0,0,0,0,0,345563
2021-04-17,9124,153649,199749,41,353439,50585,0,386262,17762,0,0,0,0,0,0,353439
2021-04-18,37,153657,199754,43,353454,50600,0,386292,17762,0,0,0,0,0,0,353454
2021-04-19,7499,156289,202627,43,358959,52789,0,391037,20711,0,0,0,0,0,0,358959
2021-04-20,13740,160925,207929,44,368898,57385,0,405178,21105,0,0,0,0,0,0,368898
2021-04-21,4897,162269,209425,46,371740,59552,0,410187,21105,0,0,0,0,0,0,371740
2021-04-22,7556,163971,211430,46,375447,63579,0,417833,21193,0,0,0,0,0,0,375447
2021-04-23,8315,165917,213784,46,379747,67872,0,426426,21193,0,0,0,0,0,0,379747
2021-04-24,7805,168249,216307,46,384602,70951,0,434360,21193,0,0,0,0,0,0,384602
2021-04-25,223,168315,216363,46,384724,71098,0,434629,21193,0,0,0,0,0,0,384724
2021-04-26,7857,170081,218298,47,388426,75209,0,442442,21193,0,0,0,0,0,0,388426
2021-04-27,8501,172234,220664,49,392947,79370,0,451124,21193,0,0,0,0,0,0,392947
2021-04-28,6356,174775,223418,49,398242,80251,0,452081,26412,0,0,0,0,0,0,398242
2021-04-29,7928,176580,225324,49,401953,84465,0,460006,26412,0,0,0,0,0,0,401953
2021-04-30,3978,177371,226108,51,403530,86664,0,463783,26411,0,0,0,0,0,0,403530
2021-05-01,0,177331,226058,51,403440,86664,0,463693,26411,0,0,0,0,0,0,403440
2021-05-02,0,177328,226050,51,403429,86664,0,463682,26411,0,0,0,0,0,0,403429
2021-05-03,5241,177858,226618,51,404527,91130,0,469246,26411,0,0,0,0,0,0,404527
2021-05-04,0,177800,226539,51,404390,91130,0,469109,26411,0,0,0,0,0,0,404390
2021-05-05,0,177775,226512,51,404338,91130,0,469057,26411,0,0,0,0,0,0,404338
2021-05-06,13859,179238,228154,51,407443,102600,0,483632,26411,0,0,0,0,0,0,407443
2021-05-07,14058,180935,230184,54,411173,113572,0,498335,26410,0,0,0,0,0,0,411173
2021-05-08,808,181291,230525,54,411870,113633,0,498245,27258,0,0,0,0,0,0,411870
2021-05-09,0,181291,230524,54,411869,113633,0,498244,27258,0,0,0,0,0,0,411869
2021-05-10,4464,182097,231438,55,413590,116560,0,502371,27779,0,0,0,0,0,0,413590
2021-05-11,564,182366,231662,55,414083,116733,0,502499,28317,0,0,0,0,0,0,414083
2021-05-12,711,182682,231989,55,414726,116803,0,502666,28863,0,0,0,0,0,0,414726
2021-05-13,732,183051,232336,55,415442,116881,0,502915,29408,0,0,0,0,0,0,415442
2021-05-14,964,183350,232816,55,416221,116990,0,503204,30007,0,0,0,0,0,0,416221
2021-05-15,15575,190167,239563,58,429788,119190,0,515658,33320,0,0,0,0,0,0,429788
2021-05-16,374,190366,239759,58,430183,119198,0,515838,33543,0,0,0,0,0,0,430183
2021-05-17,321,190558,239885,58,430501,119198,0,516143,33556,0,0,0,0,0,0,430501
2021-05-18,146,190662,239938,58,430658,119198,0,516258,33598,0,0,0,0,0,0,430658
2021-05-19,154,190768,239990,58,430816,119198,0,516315,33699,0,0,0,0,0,0,430816
2021-05-20,273,190931,240094,58,431083,119198,0,516515,33766,0,0,0,0,0,0,431083
2021-05-21,620,191359,240278,58,431695,119198,0,517008,33885,0,0,0,0,0,0,431695
2021-05-22,825,191978,240484,58,432520,119198,0,517651,34067,0,0,0,0,0,0,432520
2021-05-23,0,191979,240484,58,432521,119198,0,517652,34067,0,0,0,0,0,0,432521
2021-05-24,3517,194093,241886,58,436037,119199,0,520308,34928,0,0,0,0,0,0,436037
2021-05-25,2814,195669,243119,59,438847,119203,0,522510,35540,0,0,0,0,0,0,438847
2021-05-26,1864,196912,243740,59,440711,119203,0,524129,35785,0,0,0,0,0,0,440711
2021-05-27,3418,199015,245039,60,444114,119203,0,527112,36205,0,0,0,0,0,0,444114
2021-05-28,17634,207504,253999,65,461568,119444,0,544808,36204,0,0,0,0,0,0,461568
2021-05-29,6374,209326,255971,66,465363,122124,0,548513,38974,0,0,0,0,0,0,465363
2021-05-30,0,209324,255970,66,465360,122124,0,548511,38973,0,0,0,0,0,0,465360
2021-05-31,9568,215994,258841,69,474904,122175,0,558110,38969,0,0,0,0,0,0,474904
2021-06-01,15147,221919,263220,71,485210,127568,0,568333,44445,0,0,0,0,0,0,485210
2021-06-02,6671,225802,265681,71,491554,127978,0,575096,44436,0,0,0,0,0,0,491554
2021-06-03,11793,231857,270907,72,502836,128618,0,587030,44424,0,0,0,0,0,0,502836
2021-06-04,9633,236941,274783,75,511799,129357,0,596794,44362,0,0,0,0,0,0,511799
2021-06-05,16535,244205,282295,78,526578,131243,0,612917,44904,0,0,0,0,0,0,526578
2021-06-06,4090,246115,284514,80,530709,131312,0,617125,44896,0,0,0,0,0,0,530709
2021-06-07,14461,253422,291421,84,544927,131610,0,629047,47490,0,0,0,0,0,0,544927
2021-06-08,13787,258326,296002,85,554413,136547,0,637516,53444,0,0,0,0,0,0,554413
2021-06-09,7016,261898,298912,87,560897,137182,0,643539,54540,0,0,0,0,0,0,560897
2021-06-10,891,262378,299249,88,561715,137241,0,644431,54525,0,0,0,0,0,0,561715
2021-06-11,1068,262847,299706,89,562642,137392,0,645515,54519,0,0,0,0,0,0,562642
2021-06-12,6657,264394,301043,90,565527,142276,0,647581,60222,0,0,0,0,0,0,565527
2021-06-13,2526,265683,302182,90,567955,142407,0,650146,60216,0,0,0,0,0,0,567955
2021-06-14,12940,272996,307471,90,580557,142792,0,663195,60154,0,0,0,0,0,0,580557
2021-06-15,19084,279138,313394,101,592633,149905,0,682427,60111,0,0,0,0,0,0,592633
2021-06-16,7599,281687,315719,101,597507,152659,0,690057,60109,0,0,0,0,0,0,597507
2021-06-17,6825,285636,318108,102,603846,153066,0,696809,60103,0,0,0,0,0,0,603846
2021-06-18,5448,288003,320566,103,608672,153717,0,702291,60098,0,0,0,0,0,0,608672
2021-06-19,5545,290752,322564,104,613420,154711,0,708037,60094,0,0,0,0,0,0,613420
2021-06-20,2461,292192,323289,104,615585,155078,0,710569,60094,0,0,0,0,0,0,615585
2021-06-21,21484,297731,329193,106,627030,165780,0,732725,60085,0,0,0,0,0,0,627030
2021-06-22,24894,303784,335901,111,639796,178644,0,758379,60061,0,0,0,0,0,0,639796
2021-06-23,13872,306350,338716,111,645177,188195,0,768935,64437,0,0,0,0,0,0,645177
2021-06-24,8776,310469,342392,113,652974,189121,0,777628,64467,0,0,0,0,0,0,652974
2021-06-25,19439,403180,457389,123,663323,197369,0,796241,64451,0,0,0,0,0,0,860692
2021-06-26,6248,406294,460554,126,666072,200902,0,799650,67324,0,0,0,0,0,0,866974
2021-06-27,857,406915,460790,126,666903,200928,0,800507,67324,0,0,0,0,0,0,867831
2021-06-28,12135,412501,467338,127,672265,207701,0,812642,67324,0,0,0,0,0,0,879966
2021-06-29,5320,415250,469909,127,675110,210176,0,816900,68386,0,0,0,0,0,0,885286
2021-06-30,8906,419756,474309,128,678856,215337,0,825546,68647,0,0,0,0,0,0,894193
2021-07-01,3554,421570,476048,129,680788,216959,0,827878,69869,0,0,0,0,0,0,897747
2021-07-02,11471,426998,482089,131,684697,224521,0,839214,70004,0,0,0,0,0,0,909218
