date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,7044,30373,38962,3,0,0,0,62980,6348,0,0,0,0,0,0,69338
2021-03-09,5452,33222,41565,3,54071,20719,0,68432,6348,0,0,0,0,0,0,74790
2021-03-10,2106,34005,42888,3,54979,21917,0,70538,6348,0,0,0,0,0,0,76896
2021-03-11,5899,36720,46072,3,59948,22847,0,76437,6348,0,0,0,0,0,0,82795
2021-03-12,8319,40656,50455,3,67045,24069,0,84558,6546,0,0,0,0,0,0,91114
2021-03-13,4300,42632,52779,3,70759,24655,0,88543,6861,0,0,0,0,0,0,95414
2021-03-14,54,42657,52808,3,70810,24658,0,88597,6861,0,0,0,0,0,0,95468
2021-03-15,10074,47635,57904,3,79796,25746,0,98351,7180,0,0,0,0,0,0,105542
2021-03-16,8854,49293,58216,4,107513,26677,0,126548,7642,0,0,0,0,0,0,107513
2021-03-17,2614,67889,74711,13,142613,26822,0,161666,7769,0,0,0,0,0,0,142613
2021-03-18,14076,74273,81160,15,155448,28200,0,174693,8955,0,0,0,0,0,0,155448
2021-03-19,11089,79259,86623,15,165897,29459,0,185363,9993,0,0,0,0,0,0,165897
2021-03-20,8420,83293,91025,16,174334,30527,0,193964,10897,0,0,0,0,0,0,174334
2021-03-21,143,83429,91180,16,174625,30680,0,194248,11057,0,0,0,0,0,0,174625
2021-03-22,9383,87658,95675,17,183350,31382,0,203075,11657,0,0,0,0,0,0,183350
2021-03-23,9377,92102,100501,17,192620,32273,0,212403,12490,0,0,0,0,0,0,192620
2021-03-24,1273,92661,101162,17,193840,32348,0,213687,12501,0,0,0,0,0,0,193840
2021-03-25,12759,98696,107550,17,206263,32979,0,226295,12947,0,0,0,0,0,0,206263
2021-03-26,10147,103275,112750,17,216042,33396,0,236332,13106,0,0,0,0,0,0,216042
2021-03-27,10994,108477,118383,17,226877,33695,0,247430,13142,0,0,0,0,0,0,226877
2021-03-28,984,109061,119006,17,228084,33709,0,248651,13142,0,0,0,0,0,0,228084
2021-03-29,12799,114875,125657,19,240551,34087,0,261444,13194,0,0,0,0,0,0,240551
2021-03-30,12433,120576,132017,19,252612,34623,0,273997,13238,0,0,0,0,0,0,252612
2021-03-31,3913,122156,134051,19,256226,34970,0,277935,13261,0,0,0,0,0,0,256226
2021-04-01,9771,126348,139078,20,265446,35648,0,287763,13331,0,0,0,0,0,0,265446
2021-04-02,8904,130574,144577,22,275173,36387,0,298226,13334,0,0,0,0,0,0,275173
2021-04-03,7562,133664,148865,24,282553,37147,0,306371,13329,0,0,0,0,0,0,282553
2021-04-04,532,134912,150595,25,285532,37410,0,309620,13322,0,0,0,0,0,0,285532
2021-04-05,6934,137521,154325,26,291872,38174,0,316712,13334,0,0,0,0,0,0,291872
2021-04-06,1472,138779,156030,26,294835,38539,0,320030,13344,0,0,0,0,0,0,294835
2021-04-07,4641,141930,159652,29,301611,39280,0,327547,13344,0,0,0,0,0,0,301611
2021-04-08,13657,147349,167552,30,314931,40746,0,342334,13343,0,0,0,0,0,0,314931
2021-04-09,13446,152165,174607,31,326803,42441,0,355866,13378,0,0,0,0,0,0,326803
2021-04-10,13632,157123,181629,34,338786,44285,0,369554,13517,0,0,0,0,0,0,338786
