date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,7992,23416,31556,1,0,0,0,49738,5226,0,0,0,0,0,0,54973
2021-03-09,7411,27175,35207,2,48746,13638,0,57149,5226,0,0,0,0,0,0,62384
2021-03-10,5105,29603,37884,2,52871,14618,0,62254,5226,0,0,0,0,0,0,67489
2021-03-11,2980,30800,39667,2,54988,15481,0,65234,5226,0,0,0,0,0,0,70469
2021-03-12,5063,32913,42712,2,58867,16760,0,70392,5226,0,0,0,0,0,0,75627
2021-03-13,2092,33851,43866,2,60460,17259,0,72484,5226,0,0,0,0,0,0,77719
2021-03-14,127,33910,43934,2,60578,17268,0,72611,5226,0,0,0,0,0,0,77846
2021-03-15,5019,36403,46459,3,64298,18567,0,77259,5597,0,0,0,0,0,0,82865
2021-03-16,5751,36220,44200,3,80423,19884,0,94122,6185,0,0,0,0,0,0,80423
2021-03-17,5004,48559,54438,5,103002,20579,0,116946,6635,0,0,0,0,0,0,103002
2021-03-18,9741,52898,58976,7,111881,21531,0,126163,7249,0,0,0,0,0,0,111881
2021-03-19,10423,57515,64104,7,121626,22329,0,136118,7837,0,0,0,0,0,0,121626
2021-03-20,8399,61523,68291,7,129821,22934,0,144417,8338,0,0,0,0,0,0,129821
2021-03-21,194,61658,68424,7,130089,22978,0,144719,8348,0,0,0,0,0,0,130089
2021-03-22,11414,67291,73846,9,141146,23398,0,155934,8610,0,0,0,0,0,0,141146
2021-03-23,11465,73503,79751,9,153263,23806,0,168182,8887,0,0,0,0,0,0,153263
2021-03-24,7054,76956,83111,10,160077,24076,0,175085,9068,0,0,0,0,0,0,160077
2021-03-25,12790,83359,89318,13,172690,24337,0,187813,9214,0,0,0,0,0,0,172690
2021-03-26,11466,88790,95007,14,183811,24706,0,199041,9476,0,0,0,0,0,0,183811
2021-03-27,12484,94838,101184,19,196041,25056,0,211409,9688,0,0,0,0,0,0,196041
2021-03-28,11,94847,101193,19,196059,25056,0,211427,9688,0,0,0,0,0,0,196059
2021-03-29,10762,100242,106444,22,206708,25230,0,222172,9766,0,0,0,0,0,0,206708
2021-03-30,14339,107098,114472,22,221592,25477,0,237234,9835,0,0,0,0,0,0,221592
2021-03-31,5491,109739,117601,22,227362,25614,0,243105,9871,0,0,0,0,0,0,227362
2021-04-01,4576,111909,119906,22,231837,25739,0,247679,9897,0,0,0,0,0,0,231837
2021-04-02,4873,114424,122573,23,237020,25915,0,253012,9923,0,0,0,0,0,0,237020
2021-04-03,8562,118500,127051,23,245574,26235,0,261884,9925,0,0,0,0,0,0,245574
2021-04-04,382,119755,128433,23,248211,26303,0,264588,9926,0,0,0,0,0,0,248211
2021-04-05,9249,123851,133511,23,257385,26491,0,273945,9931,0,0,0,0,0,0,257385
2021-04-06,181,124715,134455,23,259193,26552,0,275814,9931,0,0,0,0,0,0,259193
2021-04-07,6296,127716,137896,25,265637,26743,0,282438,9942,0,0,0,0,0,0,265637
2021-04-08,14052,134579,145671,25,280275,27281,0,297612,9944,0,0,0,0,0,0,280275
2021-04-09,17509,142374,155017,25,297416,28088,0,315504,10000,0,0,0,0,0,0,297416
2021-04-10,13384,148538,162157,28,310723,28696,0,329409,10010,0,0,0,0,0,0,310723
2021-04-11,5274,151411,165141,29,316581,28858,0,335429,10010,0,0,0,0,0,0,316581
2021-04-12,27417,163327,179309,34,342670,30356,0,363016,10010,0,0,0,0,0,0,342670
2021-04-13,9756,167853,183504,36,351393,31480,0,372859,10014,0,0,0,0,0,0,351393
