date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,7167,26352,38296,3,0,0,0,60639,4004,0,0,0,0,0,0,64651
2021-03-09,5485,28728,41450,3,56253,13928,0,66169,4004,0,0,0,0,0,0,70181
2021-03-10,1148,29164,42162,3,56903,14426,0,67317,4004,0,0,0,0,0,0,71329
2021-03-11,32,29188,42170,3,56934,14427,0,67349,4004,0,0,0,0,0,0,71361
2021-03-12,5189,31372,45174,4,60264,16286,0,72538,4004,0,0,0,0,0,0,76550
2021-03-13,747,31679,45620,4,60794,16509,0,73291,4004,0,0,0,0,0,0,77303
2021-03-14,201,31762,45738,4,60979,16525,0,73492,4004,0,0,0,0,0,0,77504
2021-03-15,6763,35117,49145,5,65491,18776,0,79420,4839,0,0,0,0,0,0,84267
2021-03-16,8025,36140,47603,6,83749,20273,0,99055,4967,0,0,0,0,0,0,83749
2021-03-17,7852,54208,64343,12,118563,20811,0,134421,4953,0,0,0,0,0,0,118563
2021-03-18,10222,58797,69395,13,128205,21472,0,144725,4952,0,0,0,0,0,0,128205
2021-03-19,9233,63092,74189,13,137294,21774,0,154118,4950,0,0,0,0,0,0,137294
2021-03-20,9149,67449,79198,13,146660,22084,0,163795,4949,0,0,0,0,0,0,146660
2021-03-21,93,67543,79326,13,146882,22088,0,164021,4949,0,0,0,0,0,0,146882
2021-03-22,10078,72157,84633,13,156803,22243,0,174106,4940,0,0,0,0,0,0,156803
2021-03-23,12639,77336,90446,15,167797,24489,0,185113,7173,0,0,0,0,0,0,167797
2021-03-24,4983,79589,93119,15,172723,24568,0,190126,7165,0,0,0,0,0,0,172723
2021-03-25,11923,85086,99451,15,184552,24905,0,202297,7160,0,0,0,0,0,0,184552
2021-03-26,11093,89881,105165,17,195063,25567,0,213472,7158,0,0,0,0,0,0,195063
2021-03-27,9028,93632,109753,17,203402,26374,0,222303,7473,0,0,0,0,0,0,203402
2021-03-28,90,93790,109944,17,203751,26378,0,222655,7474,0,0,0,0,0,0,203751
2021-03-29,10956,98459,115769,20,214248,26909,0,233683,7474,0,0,0,0,0,0,214248
2021-03-30,11149,103060,121899,20,224979,27398,0,244915,7462,0,0,0,0,0,0,224979
2021-03-31,4313,105085,124460,22,229567,27770,0,249876,7461,0,0,0,0,0,0,229567
