date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,6783,22228,33426,2,0,0,0,51606,4048,0,0,0,0,0,0,55656
2021-03-09,6224,25201,36674,5,47194,14686,0,57642,4236,0,0,0,0,0,0,61880
2021-03-10,1728,25946,37657,5,48461,15147,0,59310,4296,0,0,0,0,0,0,63608
2021-03-11,2946,27153,39396,5,50778,15776,0,62256,4296,0,0,0,0,0,0,66554
2021-03-12,7792,30685,43656,5,58228,16118,0,70048,4296,0,0,0,0,0,0,74346
2021-03-13,4139,32617,45864,5,61963,16523,0,73877,4607,0,0,0,0,0,0,78486
2021-03-14,16,32624,45873,5,61979,16523,0,73893,4607,0,0,0,0,0,0,78502
2021-03-15,8151,36507,50140,6,69817,16836,0,81842,4809,0,0,0,0,0,0,86653
2021-03-16,8118,39332,52729,8,92069,17320,0,103914,5475,0,0,0,0,0,0,92069
2021-03-17,3701,51246,64573,10,115829,17373,0,127681,5521,0,0,0,0,0,0,115829
2021-03-18,9221,55451,69248,12,124711,17813,0,136588,5936,0,0,0,0,0,0,124711
2021-03-19,9171,59787,74054,12,133853,17950,0,145848,5955,0,0,0,0,0,0,133853
2021-03-20,8833,63892,78712,13,142617,18628,0,154405,6840,0,0,0,0,0,0,142617
2021-03-21,33,64041,78877,13,142931,18642,0,154697,6876,0,0,0,0,0,0,142931
2021-03-22,10225,68707,84382,18,153107,18691,0,164905,6893,0,0,0,0,0,0,153107
2021-03-23,10598,73731,90474,21,164226,19223,0,175938,7511,0,0,0,0,0,0,164226
2021-03-24,5456,76223,93384,22,169629,19278,0,181340,7567,0,0,0,0,0,0,169629
2021-03-25,9309,80296,98303,24,178623,19810,0,190474,7959,0,0,0,0,0,0,178623
2021-03-26,7908,83826,102553,26,186405,19992,0,198440,7957,0,0,0,0,0,0,186405
2021-03-27,6426,86559,106077,26,192662,20242,0,204814,8090,0,0,0,0,0,0,192662
2021-03-28,0,86564,106083,26,192673,20249,0,204832,8090,0,0,0,0,0,0,192673
2021-03-29,8334,90217,110648,29,200894,20403,0,213209,8088,0,0,0,0,0,0,200894
2021-03-30,5694,92605,113765,30,206400,20802,0,218937,8265,0,0,0,0,0,0,206400
2021-03-31,3048,93843,115267,30,209140,21229,0,221984,8385,0,0,0,0,0,0,209140
2021-04-01,3466,95303,117145,30,212478,21434,0,225515,8397,0,0,0,0,0,0,212478
2021-04-02,2008,96320,118447,30,214797,21601,0,228002,8396,0,0,0,0,0,0,214797
2021-04-03,5506,98554,121701,31,220286,22040,0,233861,8465,0,0,0,0,0,0,220286
2021-04-04,21,98971,122294,31,221296,22125,0,234934,8487,0,0,0,0,0,0,221296
2021-04-05,5164,100874,125257,31,226162,22509,0,240186,8485,0,0,0,0,0,0,226162
2021-04-06,319,101328,125969,31,227328,22636,0,241479,8485,0,0,0,0,0,0,227328
2021-04-07,3147,102741,127945,31,230717,23002,0,245235,8484,0,0,0,0,0,0,230717
2021-04-08,9760,106384,133836,31,240251,23926,0,255459,8718,0,0,0,0,0,0,240251
2021-04-09,10850,110201,139905,32,250138,25105,0,266469,8774,0,0,0,0,0,0,250138
2021-04-10,7325,112946,143938,32,256916,25884,0,273929,8871,0,0,0,0,0,0,256916
2021-04-11,462,113195,144258,32,257485,25947,0,274537,8895,0,0,0,0,0,0,257485
2021-04-12,14652,118207,152224,33,270464,27788,0,288898,9354,0,0,0,0,0,0,270464
2021-04-13,11914,122308,158174,33,280515,29861,0,300702,9674,0,0,0,0,0,0,280515
2021-04-14,2106,123259,159422,34,282715,30539,0,303448,9806,0,0,0,0,0,0,282715
2021-04-15,13333,127418,165748,35,293201,33915,0,317194,9922,0,0,0,0,0,0,293201
2021-04-16,13990,131724,171804,38,303566,38269,0,331729,10106,0,0,0,0,0,0,303566
2021-04-17,12325,135565,177096,40,312701,42459,0,344318,10842,0,0,0,0,0,0,312701
2021-04-18,235,135732,177312,40,313084,42646,0,344889,10841,0,0,0,0,0,0,313084
2021-04-19,13256,139478,182453,41,321972,47726,0,357562,12136,0,0,0,0,0,0,321972
2021-04-20,5574,141174,184423,42,325639,50490,0,362862,13267,0,0,0,0,0,0,325639
2021-04-21,5326,142793,186478,43,329314,52869,0,367550,14633,0,0,0,0,0,0,329314
2021-04-22,4710,143930,187673,44,331647,55640,0,371520,15767,0,0,0,0,0,0,331647
2021-04-23,4669,144384,188209,44,332637,59875,0,376595,15917,0,0,0,0,0,0,332637
2021-04-24,11346,145384,189297,45,334726,69842,0,388224,16344,0,0,0,0,0,0,334726
2021-04-25,364,145533,189484,45,335062,70365,0,389083,16344,0,0,0,0,0,0,335062
2021-04-26,10976,148160,192481,48,340689,76743,0,400583,16849,0,0,0,0,0,0,340689
2021-04-27,9056,150600,195278,50,345928,81783,0,409925,17786,0,0,0,0,0,0,345928
2021-04-28,4414,151787,196525,50,348362,84347,0,414153,18556,0,0,0,0,0,0,348362
2021-04-29,7428,153345,198216,53,351614,89019,0,421069,19564,0,0,0,0,0,0,351614
2021-04-30,5994,154578,199557,54,354189,93015,0,426424,20780,0,0,0,0,0,0,354189
2021-05-01,2861,155059,200109,54,355222,95011,0,428928,21305,0,0,0,0,0,0,355222
2021-05-02,0,155059,200108,54,355221,95011,0,428927,21305,0,0,0,0,0,0,355221
2021-05-03,3140,155254,200344,54,355652,97840,0,431942,21550,0,0,0,0,0,0,355652
2021-05-04,2361,155333,200457,54,355844,100091,0,434290,21645,0,0,0,0,0,0,355844
2021-05-05,789,155329,200459,54,355842,100890,0,435089,21643,0,0,0,0,0,0,355842
2021-05-06,8891,155738,201020,54,356812,109429,0,444556,21685,0,0,0,0,0,0,356812
2021-05-07,9192,156157,201530,54,357741,118368,0,454404,21705,0,0,0,0,0,0,357741
2021-05-08,3794,156351,201776,54,358181,122372,0,458848,21705,0,0,0,0,0,0,358181
2021-05-09,0,156350,201778,54,358182,122376,0,458853,21705,0,0,0,0,0,0,358182
2021-05-10,5848,156770,202287,54,359111,128192,0,465513,21790,0,0,0,0,0,0,359111
2021-05-11,2816,156980,202528,54,359562,130939,0,468632,21869,0,0,0,0,0,0,359562
2021-05-12,827,157036,202591,54,359681,131719,0,469365,22035,0,0,0,0,0,0,359681
2021-05-13,174,157034,202598,54,359686,131875,0,469502,22059,0,0,0,0,0,0,359686
2021-05-14,2791,157940,203511,54,361505,132979,0,470624,23860,0,0,0,0,0,0,361505
2021-05-15,9832,162615,208465,54,371134,133153,0,475432,28855,0,0,0,0,0,0,371134
2021-05-16,4058,164594,210600,54,375248,133189,0,475962,32475,0,0,0,0,0,0,375248
