date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,4815,21843,47320,5,0,0,0,61141,7984,0,0,0,0,0,0,69168
2021-03-09,4374,23043,50494,5,49139,24403,0,65515,7984,0,0,0,0,0,0,73542
2021-03-10,1074,23359,51251,6,49505,25111,0,66589,7984,0,0,0,0,0,0,74616
2021-03-11,2016,23944,52681,7,50556,26076,0,68605,7984,0,0,0,0,0,0,76632
2021-03-12,3130,24838,54916,8,51977,27785,0,71734,7985,0,0,0,0,0,0,79762
2021-03-13,2774,25535,56993,8,53342,29194,0,74508,7985,0,0,0,0,0,0,82536
2021-03-14,653,25697,57484,8,53590,29599,0,75161,7985,0,0,0,0,0,0,83189
2021-03-15,2771,26751,59201,8,55665,30295,0,77793,8124,0,0,0,0,0,0,85960
2021-03-16,2876,25648,52881,6,78535,30818,0,101245,8108,0,0,0,0,0,0,78535
2021-03-17,5016,58299,83425,19,141743,33008,0,164304,10447,0,0,0,0,0,0,141743
2021-03-18,12654,64144,89759,22,153925,33484,0,176973,10436,0,0,0,0,0,0,153925
2021-03-19,10572,69104,95174,25,164303,33708,0,187585,10426,0,0,0,0,0,0,164303
2021-03-20,12087,74747,101673,25,176445,33938,0,199966,10417,0,0,0,0,0,0,176445
2021-03-21,669,75156,102136,25,177317,33941,0,200841,10417,0,0,0,0,0,0,177317
2021-03-22,10780,79943,107726,28,187697,34361,0,211430,10628,0,0,0,0,0,0,187697
2021-03-23,11945,84250,112605,28,196883,37543,0,220640,13786,0,0,0,0,0,0,196883
2021-03-24,2612,85329,113854,28,199211,37775,0,223199,13787,0,0,0,0,0,0,199211
2021-03-25,16058,93019,122575,29,215623,38235,0,239981,13877,0,0,0,0,0,0,215623
2021-03-26,12380,98581,129168,29,227778,38466,0,252372,13872,0,0,0,0,0,0,227778
2021-03-27,12215,104142,135641,30,239813,38691,0,264589,13915,0,0,0,0,0,0,239813
