date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,2445,16900,19919,2,0,0,0,35041,1764,0,0,0,0,0,0,36821
2021-03-09,1459,17552,20726,2,30025,8255,0,36500,1764,0,0,0,0,0,0,38280
2021-03-10,3022,18929,22370,3,32780,8522,0,39522,1764,0,0,0,0,0,0,41302
2021-03-11,87,18967,22419,3,32852,8537,0,39609,1764,0,0,0,0,0,0,41389
2021-03-12,4047,21000,24432,4,35927,9509,0,43656,1764,0,0,0,0,0,0,45436
2021-03-13,433,21286,24579,4,36028,9841,0,43774,2079,0,0,0,0,0,0,45869
2021-03-14,20,21300,24585,4,36047,9842,0,43794,2079,0,0,0,0,0,0,45889
2021-03-15,4189,23213,26860,5,39451,10627,0,47717,2345,0,0,0,0,0,0,50078
2021-03-16,3396,23238,27240,5,50483,10963,0,58932,2514,0,0,0,0,0,0,50483
2021-03-17,2780,27307,31109,5,58421,11237,0,66964,2694,0,0,0,0,0,0,58421
2021-03-18,3221,28837,32671,5,61513,11428,0,70152,2789,0,0,0,0,0,0,61513
2021-03-19,3197,30280,34280,6,64566,11676,0,73298,2944,0,0,0,0,0,0,64566
2021-03-20,2748,31537,35649,6,67192,11907,0,75998,3101,0,0,0,0,0,0,67192
2021-03-21,56,31568,35681,6,67255,11912,0,76065,3102,0,0,0,0,0,0,67255
2021-03-22,7478,34605,39912,6,74523,12144,0,83367,3300,0,0,0,0,0,0,74523
2021-03-23,7248,37624,44015,7,81646,12732,0,90924,3454,0,0,0,0,0,0,81646
2021-03-24,3008,38791,45463,7,84261,13142,0,93950,3453,0,0,0,0,0,0,84261
2021-03-25,2904,39913,46918,7,86838,13503,0,96872,3469,0,0,0,0,0,0,86838
2021-03-26,1987,40728,47904,8,88640,13737,0,98833,3544,0,0,0,0,0,0,88640
2021-03-27,1836,41559,48774,8,90341,13879,0,100676,3544,0,0,0,0,0,0,90341
2021-03-28,25,41575,48791,8,90374,13879,0,100709,3544,0,0,0,0,0,0,90374
2021-03-29,2261,42526,49864,8,92398,14129,0,102983,3544,0,0,0,0,0,0,92398
2021-03-30,2414,43488,51028,8,94524,14486,0,105349,3661,0,0,0,0,0,0,94524
2021-03-31,2109,44339,51985,8,96332,14916,0,107357,3891,0,0,0,0,0,0,96332
2021-04-01,533,44578,52258,8,96844,14938,0,107891,3891,0,0,0,0,0,0,96844
2021-04-02,296,44799,52617,8,97424,14958,0,108491,3891,0,0,0,0,0,0,97424
2021-04-03,1303,45296,53280,8,98584,15130,0,109823,3891,0,0,0,0,0,0,98584
2021-04-04,10,45438,53528,8,98974,15179,0,110262,3891,0,0,0,0,0,0,98974
2021-04-05,2057,46209,54538,9,100756,15477,0,112342,3891,0,0,0,0,0,0,100756
2021-04-06,11,46430,54872,9,101311,15533,0,112953,3891,0,0,0,0,0,0,101311
2021-04-07,2694,47440,56219,9,103668,15918,0,115685,3901,0,0,0,0,0,0,103668
2021-04-08,4713,49462,59047,10,108519,16524,0,121086,3957,0,0,0,0,0,0,108519
2021-04-09,5208,51407,61627,11,113045,17247,0,126320,3972,0,0,0,0,0,0,113045
2021-04-10,4050,52997,63607,12,116616,17727,0,130371,3972,0,0,0,0,0,0,116616
2021-04-11,205,53098,63712,12,116822,17728,0,130578,3972,0,0,0,0,0,0,116822
2021-04-12,7063,55543,67249,14,122806,18826,0,137508,4124,0,0,0,0,0,0,122806
2021-04-13,4474,57062,69134,15,126211,19943,0,141959,4195,0,0,0,0,0,0,126211
2021-04-14,50,57082,69153,15,126250,19954,0,142009,4195,0,0,0,0,0,0,126250
2021-04-15,7164,59473,71841,16,131330,22343,0,149314,4359,0,0,0,0,0,0,131330
2021-04-16,8481,62126,74875,16,137017,25410,0,157894,4533,0,0,0,0,0,0,137017
2021-04-17,9146,65337,78427,17,143781,28001,0,167067,4715,0,0,0,0,0,0,143781
2021-04-18,1215,65966,78996,17,144979,28070,0,167496,5553,0,0,0,0,0,0,144979
2021-04-19,10182,69675,82919,19,152613,30971,0,175403,8181,0,0,0,0,0,0,152613
2021-04-20,10398,73587,87107,20,160714,33675,0,184277,10112,0,0,0,0,0,0,160714
2021-04-21,8242,76563,90404,21,166988,35886,0,192201,10673,0,0,0,0,0,0,166988
2021-04-22,6228,78782,92770,23,171575,37675,0,198083,11167,0,0,0,0,0,0,171575
2021-04-23,2650,79803,93844,23,173670,38273,0,200478,11465,0,0,0,0,0,0,173670
2021-04-24,8544,82999,96996,24,180019,40567,0,208821,11765,0,0,0,0,0,0,180019
2021-04-25,268,83184,97115,24,180323,40567,0,208856,12034,0,0,0,0,0,0,180323
2021-04-26,6401,85294,99361,24,184679,42737,0,215084,12332,0,0,0,0,0,0,184679
2021-04-27,542,85412,99460,25,184897,43094,0,215659,12332,0,0,0,0,0,0,184897
2021-04-28,1435,85545,99609,25,185179,44338,0,217165,12352,0,0,0,0,0,0,185179
2021-04-29,398,85583,99668,25,185276,44651,0,217575,12352,0,0,0,0,0,0,185276
2021-04-30,4739,86484,100657,25,187166,47711,0,222525,12352,0,0,0,0,0,0,187166
2021-05-01,4663,87459,101658,25,189142,50587,0,227377,12352,0,0,0,0,0,0,189142
2021-05-02,0,87460,101658,25,189143,50587,0,227378,12352,0,0,0,0,0,0,189143
2021-05-03,4946,88528,102824,25,191377,53549,0,232574,12352,0,0,0,0,0,0,191377
2021-05-04,527,88656,102984,25,191665,53813,0,233126,12352,0,0,0,0,0,0,191665
2021-05-05,20,88657,102988,25,191670,53827,0,233117,12380,0,0,0,0,0,0,191670
2021-05-06,80,88668,102989,25,191682,53868,0,233170,12380,0,0,0,0,0,0,191682
2021-05-07,5329,88883,103270,26,192179,59079,0,238878,12380,0,0,0,0,0,0,192179
2021-05-08,3261,89017,103429,26,192472,62398,0,242469,12401,0,0,0,0,0,0,192472
2021-05-09,0,89016,103429,26,192471,62398,0,242468,12401,0,0,0,0,0,0,192471
2021-05-10,3021,89142,103607,26,192775,65357,0,245731,12401,0,0,0,0,0,0,192775
2021-05-11,4380,89339,103932,26,193297,69641,0,250537,12401,0,0,0,0,0,0,193297
2021-05-12,2770,89540,104249,26,193815,72278,0,253579,12514,0,0,0,0,0,0,193815
2021-05-13,110,89539,104250,26,193815,72388,0,253689,12514,0,0,0,0,0,0,193815
2021-05-14,6812,91813,106663,27,198503,75069,0,259511,14061,0,0,0,0,0,0,198503
2021-05-15,10661,96565,111654,29,208248,76186,0,267503,16931,0,0,0,0,0,0,208248
2021-05-16,5089,98920,114152,30,213102,76444,0,271063,18483,0,0,0,0,0,0,213102
2021-05-17,2853,100248,115385,30,215663,76752,0,272353,20062,0,0,0,0,0,0,215663
2021-05-18,378,100400,115530,30,215960,76837,0,272565,20232,0,0,0,0,0,0,215960
2021-05-19,216,100516,115628,30,216174,76839,0,272598,20415,0,0,0,0,0,0,216174
2021-05-20,40,100532,115651,30,216213,76839,0,272608,20444,0,0,0,0,0,0,216213
2021-05-21,242,100692,115733,30,216455,76839,0,272820,20474,0,0,0,0,0,0,216455
2021-05-22,350,100908,115867,30,216805,76839,0,273170,20474,0,0,0,0,0,0,216805
2021-05-23,0,100908,115867,30,216805,76839,0,273170,20474,0,0,0,0,0,0,216805
2021-05-24,1367,101824,116318,30,218172,76839,0,274537,20474,0,0,0,0,0,0,218172
2021-05-25,1014,102487,116669,30,219186,76839,0,275551,20474,0,0,0,0,0,0,219186
2021-05-26,918,103131,116943,30,220104,76839,0,276469,20474,0,0,0,0,0,0,220104
2021-05-27,3977,105373,118673,30,224076,76844,0,280446,20474,0,0,0,0,0,0,224076
2021-05-28,5058,108040,121061,31,229132,76847,0,285505,20474,0,0,0,0,0,0,229132
2021-05-29,7542,111662,124968,33,236663,76861,0,293051,20473,0,0,0,0,0,0,236663
2021-05-30,1737,112471,125895,34,238400,76861,0,294788,20473,0,0,0,0,0,0,238400
2021-05-31,6236,114894,128247,35,243176,78459,0,299421,22214,0,0,0,0,0,0,243176
2021-06-01,8550,118209,131578,35,249822,80498,0,305903,24417,0,0,0,0,0,0,249822
2021-06-02,9061,122246,135299,36,257581,81956,0,313327,26210,0,0,0,0,0,0,257581
2021-06-03,7982,125887,138665,36,264588,83101,0,320172,27517,0,0,0,0,0,0,264588
2021-06-04,6384,129084,141816,39,270939,83158,0,326582,27515,0,0,0,0,0,0,270939
2021-06-05,6979,132487,145353,41,277881,83205,0,332775,28311,0,0,0,0,0,0,277881
2021-06-06,1044,132996,145885,43,278924,83206,0,333496,28634,0,0,0,0,0,0,278924
2021-06-07,7199,136630,149366,43,286039,83312,0,340379,28972,0,0,0,0,0,0,286039
2021-06-08,6228,139642,152451,45,292138,83491,0,346031,29598,0,0,0,0,0,0,292138
2021-06-09,5374,142205,155154,45,297404,83612,0,350820,30196,0,0,0,0,0,0,297404
2021-06-10,4907,144674,157476,45,302195,83752,0,352685,33262,0,0,0,0,0,0,302195
2021-06-11,4427,146540,159371,46,305957,84625,0,355878,34704,0,0,0,0,0,0,305957
2021-06-12,3166,148043,160910,47,309000,84980,0,358669,35311,0,0,0,0,0,0,309000
2021-06-13,204,148151,161005,48,309204,84980,0,358669,35515,0,0,0,0,0,0,309204
2021-06-14,4968,149691,162269,48,312008,87344,0,360698,38654,0,0,0,0,0,0,312008
2021-06-15,2103,150145,162706,48,312899,88594,0,361331,40162,0,0,0,0,0,0,312899
2021-06-16,4545,151842,164420,49,316311,89929,0,365540,40700,0,0,0,0,0,0,316311
2021-06-17,3268,152803,165322,49,318174,91578,0,368738,41014,0,0,0,0,0,0,318174
2021-06-18,546,152947,165456,49,318452,91901,0,369314,41039,0,0,0,0,0,0,318452
2021-06-19,310,153020,165542,51,318613,92050,0,369624,41039,0,0,0,0,0,0,318613
2021-06-20,0,153020,165541,51,318612,92050,0,369623,41039,0,0,0,0,0,0,318612
2021-06-21,406,153170,165679,51,318900,92200,0,370062,41038,0,0,0,0,0,0,318900
2021-06-22,6449,155180,167706,51,322937,95203,0,377103,41037,0,0,0,0,0,0,322937
2021-06-23,5769,156761,169528,53,326342,97965,0,382985,41322,0,0,0,0,0,0,326342
2021-06-24,7729,159877,172522,56,332455,99877,0,390628,41704,0,0,0,0,0,0,332455
2021-06-25,4522,208150,228320,65,335531,101004,0,394335,42200,0,0,0,0,0,0,436535
2021-06-26,6081,210979,231619,66,339840,102824,0,399979,42685,0,0,0,0,0,0,442664
2021-06-27,0,210979,231619,66,339840,102824,0,399979,42685,0,0,0,0,0,0,442664
2021-06-28,4977,213417,234158,66,343033,104608,0,403946,43695,0,0,0,0,0,0,447641
2021-06-29,4735,215689,236660,66,345919,106496,0,408660,43755,0,0,0,0,0,0,452415
2021-06-30,5687,218697,239339,66,350807,107295,0,414334,43768,0,0,0,0,0,0,458102
2021-07-01,7691,222607,243117,69,355686,110107,0,421906,43887,0,0,0,0,0,0,465793
2021-07-02,7619,226319,247021,72,360068,113344,0,428989,44423,0,0,0,0,0,0,473412
2021-07-03,5521,228946,249914,73,362990,115943,0,433762,45171,0,0,0,0,0,0,478933
2021-07-04,417,229168,250109,73,363007,116343,0,434179,45171,0,0,0,0,0,0,479350
2021-07-05,8372,233346,254302,74,367359,120363,0,442290,45432,0,0,0,0,0,0,487722
2021-07-06,7355,236804,258197,76,370675,124402,0,448892,46185,0,0,0,0,0,0,495077
2021-07-07,3581,238569,260011,78,373017,125641,0,451283,47375,0,0,0,0,0,0,498658
2021-07-08,2403,239743,261239,79,374000,127061,0,452245,48816,0,0,0,0,0,0,501061
2021-07-09,2143,240691,262434,79,374654,128550,0,452490,50714,0,0,0,0,0,0,503204
2021-07-10,2375,241825,263675,79,375577,130002,0,454507,51072,0,0,0,0,0,0,505579
2021-07-11,651,242178,263973,79,375977,130253,0,455158,51072,0,0,0,0,0,0,506230
2021-07-12,7708,245781,268075,82,378428,135510,0,461789,52149,0,0,0,0,0,0,513938
2021-07-13,7015,249252,271616,85,382582,138371,0,468752,52201,0,0,0,0,0,0,520953
2021-07-14,3873,251756,274482,86,386705,139619,0,473761,52563,0,0,0,0,0,0,526324
2021-07-15,3106,252809,276535,86,389149,140281,0,476808,52622,0,0,0,0,0,0,529430
2021-07-16,7509,256385,280461,93,391789,145150,0,484068,52871,0,0,0,0,0,0,536939
2021-07-17,5283,259113,283015,93,393610,148611,0,488273,53948,0,0,0,0,0,0,542221
2021-07-18,713,259457,283384,93,393718,149216,0,488986,53948,0,0,0,0,0,0,542934
2021-07-19,12734,265689,289885,94,395886,159782,0,500628,55040,0,0,0,0,0,0,555668
2021-07-20,8259,269611,294219,97,397984,165943,0,508752,55175,0,0,0,0,0,0,563927
2021-07-21,2436,270765,295501,97,398354,168009,0,511188,55175,0,0,0,0,0,0,566363
2021-07-22,9381,275320,300326,99,402708,173037,0,520570,55175,0,0,0,0,0,0,575745
2021-07-23,9934,280459,305118,102,406814,178865,0,530393,55286,0,0,0,0,0,0,585679
2021-07-24,16463,288925,313113,104,420133,182009,0,546086,56056,0,0,0,0,0,0,602142
2021-07-25,22303,300504,323827,114,439435,185010,0,568369,56076,0,0,0,0,0,0,624445
2021-07-26,15441,308467,331301,118,453192,186694,0,581084,58802,0,0,0,0,0,0,639886
2021-07-27,6393,311597,334565,119,458662,187619,0,581982,64299,0,0,0,0,0,0,646281
2021-07-28,0,311714,334697,119,458866,187664,0,582231,64299,0,0,0,0,0,0,646530
2021-07-29,15435,319386,342453,126,472571,189394,0,597666,64299,0,0,0,0,0,0,661965
2021-07-30,17052,327724,351189,132,488425,190620,0,612500,66545,0,0,0,0,0,0,679045
2021-07-31,11935,333655,357320,135,499378,191732,0,623276,67834,0,0,0,0,0,0,691110
2021-08-01,187,334502,358380,134,501192,191824,0,625184,67832,0,0,0,0,0,0,693016
2021-08-02,564,334957,358489,133,501696,191883,0,625354,68225,0,0,0,0,0,0,693579
2021-08-03,25252,347151,371520,149,525549,193271,0,650277,68543,0,0,0,0,0,0,718820
2021-08-04,2887,348631,373069,150,528086,193764,0,653024,68826,0,0,0,0,0,0,721850
2021-08-05,377,348859,373219,150,528421,193807,0,653379,68849,0,0,0,0,0,0,722228
2021-08-06,15165,356289,381075,152,542170,195346,0,663714,73802,0,0,0,0,0,0,737516
2021-08-07,6387,359491,384259,154,547693,196211,0,666908,76996,0,0,0,0,0,0,743904
2021-08-08,32,359512,384270,154,547723,196213,0,666940,76996,0,0,0,0,0,0,743936
2021-08-09,16505,367816,392523,168,561001,199506,0,682626,77881,0,0,0,0,0,0,760507
2021-08-10,870,368287,392982,168,561560,199877,0,683405,78032,0,0,0,0,0,0,761437
2021-08-11,146,368407,393094,168,561752,199917,0,683608,78061,0,0,0,0,0,0,761669
2021-08-12,13800,375098,400202,170,573399,202071,0,692891,82579,0,0,0,0,0,0,775470
2021-08-13,18620,384174,409739,177,588004,206086,0,708052,86038,0,0,0,0,0,0,794090
