date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,80162,342505,505867,36,0,0,0,782875,65352,0,0,0,0,0,0,848408
2021-03-09,69865,372796,545513,41,689979,228371,0,852243,65926,0,0,0,0,0,0,918350
2021-03-10,36512,387837,566999,45,714468,240413,0,888669,66031,0,0,0,0,0,0,954881
2021-03-11,37003,403730,588375,49,742190,249964,0,925745,66227,0,0,0,0,0,0,992154
2021-03-12,85115,440458,636853,56,807213,270154,0,1010164,67021,0,0,0,0,0,0,1077367
2021-03-13,46060,460547,662952,57,843361,280195,0,1054301,69072,0,0,0,0,0,0,1123556
2021-03-14,4289,462423,665365,57,846852,280993,0,1058547,69115,0,0,0,0,0,0,1127845
2021-03-15,85241,502675,710345,66,915549,297537,0,1137935,74967,0,0,0,0,0,0,1213086
2021-03-16,84541,506856,681178,65,1188099,312374,0,1418038,82435,0,0,0,0,0,0,1188099
2021-03-17,66409,768897,926350,140,1695387,321316,0,1927633,89070,0,0,0,0,0,0,1695387
2021-03-18,147825,834871,997172,162,1832205,333447,0,2070647,95005,0,0,0,0,0,0,1832205
2021-03-19,130190,892887,1061807,174,1954868,343587,0,2197281,101174,0,0,0,0,0,0,1954868
2021-03-20,114589,944605,1121838,181,2066624,352307,0,2311553,107378,0,0,0,0,0,0,2066624
2021-03-21,5441,948016,1125704,182,2073902,352925,0,2319019,107808,0,0,0,0,0,0,2073902
2021-03-22,136793,1008762,1194773,200,2203735,360314,0,2450722,113327,0,0,0,0,0,0,2203735
2021-03-23,137709,1071966,1266982,216,2339164,373548,0,2587961,124751,0,0,0,0,0,0,2339164
2021-03-24,63258,1099916,1298425,226,2398567,377588,0,2648861,127294,0,0,0,0,0,0,2398567
2021-03-25,159045,1173561,1381745,244,2555550,383692,0,2808035,131207,0,0,0,0,0,0,2555550
2021-03-26,130620,1231380,1450450,259,2682089,388263,0,2937109,133243,0,0,0,0,0,0,2682089
2021-03-27,116740,1283227,1512430,273,2795930,392138,0,3052866,135202,0,0,0,0,0,0,2795930
2021-03-28,10662,1288539,1518538,274,2807351,392308,0,3064449,135210,0,0,0,0,0,0,2807351
2021-03-29,152581,1355104,1600818,305,2956227,396814,0,3216117,136924,0,0,0,0,0,0,2956227
2021-03-30,154678,1421478,1684885,319,3106682,403525,0,3370469,139738,0,0,0,0,0,0,3106682
2021-03-31,62801,1448053,1718636,326,3167015,407842,0,3433560,141297,0,0,0,0,0,0,3167015
2021-04-01,78079,1481276,1761139,332,3242747,411067,0,3512033,141781,0,0,0,0,0,0,3242747
2021-04-02,56390,1510014,1797019,341,3307374,414525,0,3579491,142408,0,0,0,0,0,0,3307374
2021-04-03,111424,1555388,1860659,353,3416400,422083,0,3695037,143446,0,0,0,0,0,0,3416400
2021-04-04,11525,1575071,1888134,358,3463563,424768,0,3744439,143892,0,0,0,0,0,0,3463563
2021-04-05,114681,1620368,1952832,368,3573568,431649,0,3860792,144425,0,0,0,0,0,0,3573568
2021-04-06,8584,1635201,1972554,371,3608126,434218,0,3897660,144684,0,0,0,0,0,0,3608126
